idx,n,density,noise,phi_r_ccs,phi_wms_min,phi_mean,phi_max
27,3,0.3,0.05,0.07730848167887391,0.07735188792582952,0.19167645847619266,1.5334116678095413
28,3,0.3,0.05,0.0021298962492248483,0.0002592293249587124,0.0,0.0
29,3,0.3,0.05,0.09104310064354901,0.0677502783336735,0.0,0.0
30,3,0.3,0.2,0.22052277210220522,0.15145066930501883,0.0,0.0
31,3,0.3,0.2,0.05192661988715968,0.030967585317774327,0.0,0.0
32,3,0.3,0.2,0.0009107594948402631,0.0005970157929244269,0.0,0.0
33,3,0.3,0.2,0.08519481140707501,0.08519481140707501,0.0,0.0
34,3,0.3,0.2,0.15045330279406377,0.14964295698156077,0.17358640770883532,0.6943456308353413
35,3,0.3,0.2,0.21330333329593631,0.15160047154581857,0.0,0.0
36,3,0.3,0.2,0.07483832636361268,0.06728854609121362,0.0,0.0
37,3,0.3,0.2,0.023621412653560638,0.016781411578688416,0.0,0.0
38,3,0.3,0.2,0.12221421680992554,0.12221421680992554,0.0,0.0
39,3,0.3,0.2,0.02152347014574293,0.0158075963085538,0.0,0.0
40,3,0.3,0.2,0.0002679903659307513,0.0002679903659307513,0.0,0.0
41,3,0.3,0.2,0.1081757009431609,0.07219876067201919,0.0,0.0
42,3,0.3,0.2,0.022545849697161578,0.009778548601966364,0.0,0.0
43,3,0.3,0.2,0.0017706623743839415,0.0007870803777842952,0.07632928498831337,0.610634279906507
44,3,0.3,0.2,0.2046660175970797,0.14349822192460043,0.0,0.0
45,3,0.5,0.0,0.00015563596897883933,0.00015563596897883933,0.4025062498798073,2.0
46,3,0.5,0.0,9.437273436222826e-05,-0.00120681601347222,0.0,0.0
47,3,0.5,0.0,0.0,0.0,0.0,0.0
48,3,0.5,0.0,0.0,0.0,0.0,0.0
49,3,0.5,0.0,0.0,-0.9999999887261266,0.0,0.0
50,3,0.5,0.0,0.13992343091033493,-0.24994270618748948,0.0,0.0
51,3,0.5,0.0,0.0,0.0,0.25,1.0
52,3,0.5,0.0,0.0,0.0,0.0,0.0
53,3,0.5,0.0,0.0,0.0,0.0,0.0
54,3,0.5,0.0,0.0016031287217300183,0.0016031287217300183,0.6666666666666666,2.0
55,3,0.5,0.0,0.0,0.0,0.0,0.0
56,3,0.5,0.0,0.0,0.0,0.5,2.0
57,3,0.5,0.0,0.0,-0.9999999887261266,0.0,0.0
58,3,0.5,0.0,0.0,0.0,0.0,0.0
59,3,0.5,0.0,9.437273436222826e-05,9.437273436222826e-05,0.0,0.0
60,3,0.5,0.05,0.10103105087835426,0.048003314499936334,0.0,0.0
61,3,0.5,0.05,0.006109991164780429,-0.2440054559019309,0.0,0.0
62,3,0.5,0.05,0.13868450194326484,0.13070133446650864,0.23847386205072885,1.5878575029692834
63,3,0.5,0.05,0.10088830300153077,-0.0016885347719626242,0.0,0.0
64,3,0.5,0.05,0.17251162991859625,-0.2810378891964808,0.0,0.0
65,3,0.5,0.05,0.01627555107493918,0.007535868281459537,0.0,0.0
66,3,0.5,0.05,0.014668573580943214,0.002990846358098209,0.0,0.0
67,3,0.5,0.05,0.10878499995857921,0.06420097505344181,0.0,0.0
68,3,0.5,0.05,0.04434710355770345,0.03883856288823535,0.04179129951764899,0.3343303961411919
