id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
81,triad,3,"W=FALSE,S=~W,C=NOR",0.0,0.0,4,3,0,0,1,0,(none)
82,triad,3,"W=FALSE,S=~W,C=W&~C",0.0,0.0,4,3,0,0,1,0,(none)
83,triad,3,"W=FALSE,S=~W,C=~C",0.0,0.0,4,2,0,0,1,0,(none)
84,triad,3,"W=FALSE,S=~W,C=~W&C",0.0,0.0,4,3,0,0,1,0,(none)
85,triad,3,"W=FALSE,S=~W,C=~W",0.0,0.0,4,2,0,0,0,0,(none)
86,triad,3,"W=FALSE,S=~W,C=XOR",0.0,0.0,4,3,0,0,1,1,(none)
87,triad,3,"W=FALSE,S=~W,C=NAND",0.0,0.0,4,3,0,0,1,0,(none)
88,triad,3,"W=FALSE,S=~W,C=AND",0.0,0.0,4,3,0,0,1,0,(none)
89,triad,3,"W=FALSE,S=~W,C=XNOR",0.0,0.0,4,3,0,0,1,1,(none)
90,triad,3,"W=FALSE,S=~W,C=copyA",0.0,0.0,4,2,0,0,0,0,(none)
91,triad,3,"W=FALSE,S=~W,C=A|~B",0.0,0.0,4,3,0,0,1,0,(none)
92,triad,3,"W=FALSE,S=~W,C=copyB",0.0,0.0,4,2,0,0,1,0,(none)
93,triad,3,"W=FALSE,S=~W,C=~A|B",0.0,0.0,4,3,0,0,1,0,(none)
94,triad,3,"W=FALSE,S=~W,C=OR",0.0,0.0,4,3,0,0,1,0,(none)
95,triad,3,"W=FALSE,S=~W,C=TRUE",0.0,0.0,2,1,0,0,0,0,(none)
96,triad,3,"W=FALSE,S=XOR,C=FALSE",0.0,0.0,2,2,1,0,0,1,XOR
97,triad,3,"W=FALSE,S=XOR,C=NOR",0.0,0.0,4,4,1,0,1,1,XOR
98,triad,3,"W=FALSE,S=XOR,C=W&~C",0.0,0.0,4,4,1,0,1,1,XOR
99,triad,3,"W=FALSE,S=XOR,C=~C",0.0,0.0,4,3,1,0,1,1,XOR
