n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,idx,struct_fragility,dyn_fragility,syn_fragility,n_parity,n_affine,n_both_dep,mean_balance
6.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,1.0,0,83,0.8125,0.75,1.0,0,1,3,0.625
7.0,4.0,1.0,2.0,0.0,1.0,2.0,10.0,0.0,3.0,1,84,0.625,0.9375,1.0,1,2,3,0.25
8.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,3.0,0,85,0.375,1.0,1.0,2,2,4,0.25
6.0,3.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,1.0,0,86,0.8125,0.9375,1.0,0,1,3,0.625
6.0,2.0,0.0,2.0,0.0,1.0,2.0,5.0,0.0,2.0,0,87,0.625,0.875,1.0,1,2,3,0.5
7.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,4.0,1,88,0.8125,0.875,1.0,0,1,3,0.375
8.0,4.0,1.0,4.0,1.0,1.0,0.0,7.0,0.0,4.0,0,89,0.75,0.9375,1.0,0,0,4,0.5
7.0,4.0,1.0,3.0,0.0,1.0,2.0,9.0,0.0,1.0,1,90,0.8125,1.0,1.0,0,1,3,0.375
4.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,0,91,0.9375,0.8125,1.0,0,3,1,0.375
4.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0,92,0.75,0.75,1.0,1,4,1,0.25
7.0,4.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,1.0,0,93,0.8125,0.875,1.0,0,1,3,0.375
6.0,4.0,1.0,2.0,0.0,1.0,2.0,8.0,0.0,2.0,1,94,0.875,1.0,1.0,0,2,2,0.25
5.0,4.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,4.0,1,95,0.9375,1.0,1.0,0,3,1,0.125
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,96,0.875,0.75,1.0,0,2,2,0.5
5.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,97,0.6875,1.0,1.0,1,3,2,0.375
7.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,2.0,0,98,0.625,0.625,1.0,1,2,3,0.25
6.0,3.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,5.0,0,99,0.875,0.75,1.0,0,2,2,0.25
5.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,0,100,0.6875,0.6875,1.0,1,3,2,0.375
7.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,1.0,1,101,0.625,0.875,1.0,1,2,3,0.25
5.0,3.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,1.0,0,102,0.875,0.75,1.0,0,2,2,0.5
8.0,4.0,1.0,4.0,1.0,1.0,1.0,8.0,0.0,6.0,1,103,0.75,1.0,1.0,0,0,4,0.5
6.0,3.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,5.0,0,104,0.8125,0.9375,1.0,0,1,3,0.625
6.0,4.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,2.0,1,105,0.6875,1.0,1.0,1,3,2,0.125
