group,seed_idx,n_flip,flip_rate,any_flip,seed_triadic,seed_p
near_hit_control,3025,7,0.583333,1,0,0.434076
near_hit_control,3038,8,0.666667,1,0,0.434076
near_hit_control,3042,8,0.666667,1,0,0.434076
near_hit_control,3043,7,0.583333,1,1,0.541414
near_hit_control,3050,7,0.583333,1,1,0.541414
near_hit_control,3051,8,0.666667,1,0,0.434076
near_hit_control,3095,7,0.583333,1,1,0.541414
near_hit_control,3111,5,0.416667,1,1,0.541414
near_hit_control,3348,3,0.250000,1,1,0.718968
near_hit_control,3357,7,0.583333,1,0,0.434076
near_hit_control,3362,4,0.333333,1,1,0.718968
near_hit_control,3367,3,0.250000,1,1,0.718968
near_hit_control,3374,8,0.666667,1,0,0.434076
near_hit_control,3393,8,0.666667,1,0,0.434076
near_hit_control,3399,8,0.666667,1,0,0.434076
near_hit_control,3447,4,0.333333,1,1,0.718968
near_hit_control,3448,4,0.333333,1,1,0.718968
near_hit_control,3460,8,0.666667,1,0,0.434076
near_hit_control,3467,7,0.583333,1,0,0.434076
near_hit_control,3505,7,0.583333,1,0,0.434076
near_hit_control,3518,8,0.666667,1,0,0.434076
near_hit_control,3538,4,0.333333,1,1,0.718968
near_hit_control,3540,4,0.333333,1,1,0.718968
near_hit_control,3560,4,0.333333,1,1,0.718968
near_hit_control,3563,3,0.250000,1,1,0.718968
near_hit_control,3565,8,0.666667,1,0,0.434076
near_hit_control,3602,4,0.333333,1,1,0.718968
near_hit_control,3603,7,0.583333,1,0,0.457843
near_hit_control,3607,8,0.666667,1,0,0.360836
near_hit_control,3614,3,0.250000,1,1,0.718968
near_hit_control,3617,4,0.333333,1,1,0.718968
near_hit_control,3624,4,0.333333,1,1,0.718968
near_hit_control,3633,7,0.583333,1,0,0.457843
near_hit_control,3652,7,0.583333,1,0,0.360836
near_hit_control,3659,8,0.666667,1,0,0.360836
near_hit_control,3660,6,0.500000,1,0,0.457843
near_hit_control,3697,8,0.666667,1,0,0.360836
near_hit_control,3706,6,0.500000,1,0,0.457843
near_hit_control,3710,7,0.583333,1,0,0.360836
near_hit_control,3714,4,0.333333,1,1,0.718968
near_hit_control,3725,4,0.333333,1,1,0.718968
near_hit_control,3751,6,0.500000,1,0,0.457843
near_hit_control,3757,7,0.583333,1,0,0.457843
near_hit_control,3764,8,0.666667,1,0,0.360836
near_hit_control,3773,8,0.666667,1,0,0.360836
near_hit_control,3780,6,0.500000,1,0,0.457843
near_hit_control,3800,4,0.333333,1,1,0.718968
near_hit_control,3802,7,0.583333,1,0,0.457843
near_hit_control,3803,8,0.666667,1,0,0.360836
near_hit_control,3805,3,0.250000,1,1,0.718968
near_hit_control,3809,3,0.250000,1,1,0.718968
near_hit_control,3815,7,0.583333,1,0,0.360836
far_hit_control,2708,2,0.166667,1,1,1.000000
far_hit_control,2424,3,0.250000,1,1,1.000000
