panel,family,n,name,triadic,phi_full,phi_alt,phi_phase,mi_full,mi_alt,mi_phase
multifamily,majority,3,maj_n3,1,2.000000,0.000000,2.000000,0.111026,0.000671,0.118210
multifamily,majority,3,thresh1_n3,1,2.000000,2.000000,2.000000,0.106087,0.002377,0.119982
multifamily,chain,4,chain_and_n4,1,2.000000,0.000000,2.000000,0.009453,0.006579,0.013720
multifamily,chain,4,chain_ff_n4,0,0.000000,0.000000,0.000000,0.155504,0.169581,0.158292
multifamily,pool,4,pool_and_n4,1,12.000000,0.000000,12.000000,0.000740,0.000464,0.000502
multifamily,pool,4,pool_or_n4,1,12.000000,2.000000,12.000000,0.000548,0.001082,0.000566
multifamily,hub,4,and_hub_n4,1,3.000000,0.000000,3.000000,0.163743,0.129985,0.160600
multifamily,hub,4,broken_hub_n4,0,0.000000,0.000000,0.000000,0.049525,0.051987,0.045350
multifamily,or_hub,4,or_hub_n4,1,3.000000,2.000000,3.000000,0.129427,0.104309,0.121419
multifamily,parity,4,parity_hub_n4,1,0.250000,2.000000,0.250000,0.195264,0.152127,0.211802
multifamily,broadcast,4,broadcast_n4,0,0.000000,1.000000,0.000000,0.201710,0.172742,0.214857
multifamily,majority,4,maj_n4,0,0.000000,0.000000,0.000000,0.197753,0.162936,0.218243
multifamily,majority,4,thresh1_n4,1,3.000000,2.000000,3.000000,0.137394,0.106786,0.104552
multifamily,ring,4,ring_n4,1,4.000000,0.000000,4.000000,0.007495,0.004951,0.011144
multifamily,two_hub,4,two_hub_n4,1,2.000000,0.000000,2.000000,0.020495,0.023672,0.021387
