idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
280,5,2,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
281,5,4,1,1.0,0.0,1.0,0,12,0,6,1,2.000000
282,8,4,1,4.0,1.0,1.0,2,8,0,2,1,0.830075
283,7,4,1,2.0,0.0,1.0,1,10,0,1,1,0.415037
284,6,2,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
285,7,4,1,1.0,0.0,1.0,1,12,0,4,1,1.000000
286,3,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
287,5,3,0,2.0,0.0,1.0,2,8,0,1,0,0.000000
288,8,4,1,4.0,1.0,1.0,2,9,0,1,1,0.415037
289,7,4,1,2.0,0.0,1.0,1,9,0,2,1,0.830075
290,6,3,0,2.0,0.0,1.0,0,6,0,5,0,0.000000
291,6,4,1,2.0,0.0,1.0,1,10,0,2,1,0.830075
292,7,4,1,2.0,0.0,1.0,2,8,0,1,0,0.000000
293,2,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
294,5,3,0,0.0,0.0,0.0,1,8,0,1,0,0.000000
295,7,3,0,3.0,0.0,1.0,1,7,0,2,0,0.000000
296,6,3,0,2.0,0.0,1.0,0,6,0,5,0,0.000000
297,8,4,1,4.0,1.0,1.0,1,8,0,3,0,0.000000
298,6,2,0,1.0,0.0,1.0,0,6,0,4,0,0.000000
299,6,3,0,2.0,0.0,1.0,1,7,0,3,0,0.000000
300,7,4,1,2.0,0.0,1.0,2,10,0,2,1,0.830075
301,8,4,1,3.0,0.0,1.0,2,10,0,2,1,0.830075
302,7,4,1,3.0,0.0,1.0,0,8,0,4,0,0.000000
303,7,4,1,1.0,0.0,1.0,1,12,0,1,1,2.000000
304,8,3,0,3.0,0.0,1.0,2,5,0,1,0,0.000000
305,8,4,1,2.0,0.0,1.0,0,10,0,7,1,0.830075
306,7,4,1,2.0,0.0,1.0,0,10,0,6,1,0.830075
307,8,4,1,4.0,1.0,1.0,0,9,0,4,1,0.830075
308,6,3,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
309,4,1,0,2.0,0.0,1.0,1,3,0,1,0,0.000000
310,7,4,1,2.0,0.0,1.0,1,10,0,2,1,2.000000
311,5,4,1,0.0,0.0,0.0,1,16,1,15,1,2.000000
312,6,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
313,6,3,0,1.0,0.0,1.0,2,6,0,1,0,0.000000
314,7,4,1,2.0,0.0,1.0,2,9,0,1,1,1.000000
315,7,4,1,2.0,0.0,1.0,1,10,0,7,1,0.415037
316,5,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
317,6,4,1,2.0,0.0,1.0,0,10,0,6,1,0.415037
318,4,2,0,2.0,0.0,1.0,1,4,0,1,0,0.000000
319,7,4,1,3.0,0.0,1.0,1,8,0,1,0,0.000000
320,8,4,1,4.0,1.0,1.0,1,6,0,1,0,0.000000
