start,terminal,phi_start,phi_term,struct_term,is_and,is_or,is_maximizer
241,177,0.00000000,2.00000000,triadic,0,0,1
242,242,2.00000000,2.00000000,triadic,0,0,1
243,242,0.00000000,2.00000000,triadic,0,0,1
244,246,0.00000000,2.00000000,triadic,0,0,1
245,228,0.00000000,2.00000000,triadic,0,0,1
246,246,2.00000000,2.00000000,triadic,0,0,1
247,246,0.00000000,2.00000000,triadic,0,0,1
248,250,0.00000000,2.00000000,triadic,0,1,1
249,232,0.00000000,2.00000000,triadic,0,0,1
250,250,2.00000000,2.00000000,triadic,0,1,1
251,250,0.00000000,2.00000000,triadic,0,1,1
252,254,0.00000000,2.00000000,triadic,0,0,1
253,232,0.00000000,2.00000000,triadic,0,0,1
254,254,2.00000000,2.00000000,triadic,0,0,1
255,254,0.00000000,2.00000000,triadic,0,0,1
