idx,structure,max_phi,s_reads_all_three,n_states
314,dyadic,0.000000,True,4
315,dyadic,0.000000,True,4
316,dyadic,0.000000,True,4
317,dyadic,0.000000,True,4
318,dyadic,0.000000,True,4
319,dyadic,0.000000,True,4
320,dyadic,0.000000,True,4
321,dyadic,0.000000,True,4
322,dyadic,0.000000,False,4
323,dyadic,0.000000,True,2
324,dyadic,0.000000,False,4
325,dyadic,0.000000,True,4
326,dyadic,0.000000,True,4
327,dyadic,0.000000,True,4
328,dyadic,0.000000,True,4
329,dyadic,0.000000,False,4
330,dyadic,0.000000,False,4
331,dyadic,0.000000,True,4
332,dyadic,0.000000,True,4
333,dyadic,0.000000,False,2
334,dyadic,0.000000,True,4
335,dyadic,0.000000,True,4
336,dyadic,0.000000,False,4
337,dyadic,0.000000,True,2
338,dyadic,0.000000,False,4
339,dyadic,0.000000,True,4
340,dyadic,0.000000,True,2
341,dyadic,0.000000,True,2
342,dyadic,0.000000,True,2
343,dyadic,0.000000,True,4
344,dyadic,0.000000,True,4
345,dyadic,0.000000,True,4
346,dyadic,0.000000,True,4
347,dyadic,0.000000,False,4
348,dyadic,0.000000,True,4
349,dyadic,0.000000,False,4
350,dyadic,0.000000,True,4
351,dyadic,0.000000,True,4
352,dyadic,0.000000,True,4
353,dyadic,0.000000,True,4
354,dyadic,0.000000,True,4
355,dyadic,0.000000,True,4
356,dyadic,0.000000,True,4
357,dyadic,0.000000,True,4
358,dyadic,0.000000,True,4
359,dyadic,0.000000,False,4
360,dyadic,0.000000,True,4
361,dyadic,0.000000,True,4
362,dyadic,0.000000,True,4
363,dyadic,0.000000,True,4
364,dyadic,0.000000,True,2
365,dyadic,0.000000,True,4
366,dyadic,0.000000,True,4
367,dyadic,0.000000,True,4
368,dyadic,0.000000,True,4
369,dyadic,0.000000,True,4
370,dyadic,0.000000,True,4
371,dyadic,0.000000,True,4
372,dyadic,0.000000,False,2
373,dyadic,0.000000,True,4
374,dyadic,0.000000,True,4
375,dyadic,0.000000,True,4
376,dyadic,0.000000,True,4
377,dyadic,0.000000,True,4
378,dyadic,0.000000,True,2
379,dyadic,0.000000,True,4
380,dyadic,0.000000,True,4
381,dyadic,0.000000,True,2
382,dyadic,0.000000,False,4
383,dyadic,0.000000,True,2
384,dyadic,0.000000,True,4
385,dyadic,0.000000,True,2
386,dyadic,0.000000,True,2
387,dyadic,0.000000,True,4
388,dyadic,0.000000,True,4
389,dyadic,0.000000,True,4
390,triadic,0.500000,True,4
391,dyadic,0.000000,True,4
392,dyadic,0.000000,True,4
393,dyadic,0.000000,True,4
394,dyadic,0.000000,False,4
395,dyadic,0.000000,True,4
396,dyadic,0.000000,False,4
397,dyadic,0.000000,True,4
398,dyadic,0.000000,True,4
399,dyadic,0.000000,True,4
400,dyadic,0.000000,True,4
401,dyadic,0.000000,True,2
402,dyadic,0.000000,True,4
403,dyadic,0.000000,True,4
404,dyadic,0.000000,True,4
405,dyadic,0.000000,True,4
406,dyadic,0.000000,False,4
407,dyadic,0.000000,True,4
408,dyadic,0.000000,True,4
409,dyadic,0.000000,True,4
410,dyadic,0.000000,True,4
411,dyadic,0.000000,True,4
412,dyadic,0.000000,False,4
413,dyadic,0.000000,True,4
414,dyadic,0.000000,False,4
