idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,tdmi,phi_wms,stochastic_interaction,causal_density,integrated_synergy,total_correlation
70,3,0.5,0.05,5,copy|or|or,0.14103239345322918,0.7939287514846416,8,0.26868802533514685,0.05582991504487084,0.2749426199054319,0.041233674598990806,0.002479711697154413,0.009112784736635238
71,3,0.5,0.05,6,and|copy|majority,0.0,0.0,8,1.2674590830796768,-0.056828750786854565,0.3861085631839757,0.07689477779113789,-0.30447149336393164,0.39154158006255013
72,3,0.5,0.05,6,copy|copy|copy,0.0,0.0,8,1.2115615719847388,-0.3339383779807612,0.7308741310403369,0.15780626002787249,-0.5730814362691491,0.9292475566673923
73,3,0.5,0.05,3,parity|parity|and,1.5878575029692836,1.5878575029692836,8,2.1408091286521316,1.4272060857680875,2.1408091286521316,0.35680152144202193,1.1102230246251565e-16,0.0
74,3,0.5,0.05,4,or|majority|and,0.39696437574232085,1.5878575029692834,8,0.5499073210386396,0.21250566268016935,0.5411361935531585,0.09278847272629616,-0.015530361419058447,0.019526247266516528
75,3,0.5,0.2,5,and|or|parity,0.0,0.0,8,0.600144586543041,0.15560839607804022,0.40313431465458116,0.06802368199110538,-0.00035358990974829196,0.054131992485850766
76,3,0.5,0.2,3,parity|parity|or,0.6943456308353413,0.6943456308353413,8,0.8342157153379128,0.556143810225276,0.8342157153379128,0.1390359525563189,3.3306690738754696e-16,0.0
77,3,0.5,0.2,6,and|copy|or,0.019171858038970112,0.1533748643117609,8,0.5275390459981559,0.2689747808582548,0.5332232569130535,0.08248809542175253,0.006944577084506708,0.03385836687181554
78,3,0.5,0.2,6,and|majority|parity,0.16610843894614155,0.6943456308353413,8,0.7350682294581126,0.42739419536032036,0.7563185179222711,0.07669243746472193,0.18346002752036805,0.03353146174126831
79,3,0.5,0.2,7,or|copy|majority,0.0,0.0,8,0.5923582786695873,0.23297177589760001,0.5723358259231404,0.09225804190273497,-0.013915025928473221,0.05652868264281308
80,3,0.5,0.2,5,and|parity|majority,0.08679320385441766,0.6943456308353413,8,0.49413676045030824,0.2327304377537872,0.48987083159845124,0.08014693420085622,0.01019606280164953,0.006444645152769102
81,3,0.5,0.2,3,copy|copy|and,0.0,0.0,8,0.7385971730624069,1.6653345369377348e-16,0.24415000270786358,0.040691667117977254,-0.05036075937776596,0.09561854227550626
82,3,0.5,0.2,4,copy|copy|or,0.0,0.0,8,0.6290373251363752,5.551115123125783e-17,0.30289700178579526,0.050482833630965895,1.6653345369377348e-16,0.020061634403064854
83,3,0.5,0.2,4,or|and|and,0.0,0.0,8,0.6290373251363751,7.771561172376096e-16,0.3028970017857957,0.05048283363096603,7.771561172376096e-16,0.02006163440306441
84,3,0.5,0.2,7,copy|copy|and,0.0,0.0,8,0.635896055710558,0.0333876267690521,0.061311405186402546,0.007897733766908078,0.015755448436526875,0.007532894953387714
85,3,0.5,0.2,3,majority|or|copy,0.0,0.0,8,0.738597173062407,0.18245336283713143,0.8342157153379128,0.1446896029571145,-0.03392190240477505,0.09561854227550626
86,3,0.5,0.2,4,copy|parity|parity,0.0,0.0,8,0.8342157153379128,0.27807190511263835,0.8342157153379124,0.13903595255631884,4.440892098500626e-16,0.0
87,3,0.5,0.2,4,copy|and|parity,0.0,0.0,8,0.6445156699698662,0.05984677373091751,0.3158433362593671,0.05411240764648193,-0.017144138173356503,0.05329298878901412
88,3,0.5,0.2,4,and|majority|copy,0.0,0.0,8,0.709125888823902,0.09479296737175003,0.19519688019576797,0.02238237981755684,-0.02933324741250587,0.05915788188950222
