panel,family,n,name,triadic,phi_full,phi_zero_duty_B,phi_retain_MA,phi_omit_M,phi_alt,zero_eq_retain
family_n3,mediation,3,W3_S9_C3,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W0_S9_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W0_S7_C1,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W2_S12_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W3_S14_C1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S11_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W2_S6_C3,0,0.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W3_S11_C2,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W2_S8_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W2_S7_C1,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W0_S7_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W2_S5_C2,0,0.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W2_S13_C3,0,0.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S3_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W0_S9_C1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W3_S3_C3,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W3_S12_C1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W3_S4_C1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
multifamily,chain,3,chain_and_n3,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,chain,3,chain_ff_n3,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,pool,3,pool_and_n3,1,6.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,pool,3,pool_or_n3,1,6.000000,2.000000,2.000000,2.000000,2.000000,1
multifamily,hub,3,and_hub_n3,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,hub,3,broken_hub_n3,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,or_hub,3,or_hub_n3,1,2.000000,2.000000,2.000000,0.000000,2.000000,1
multifamily,parity,3,parity_hub_n3,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
multifamily,broadcast,3,broadcast_n3,0,0.000000,2.000000,2.000000,0.000000,1.000000,1
multifamily,majority,3,maj_n3,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,majority,3,thresh1_n3,1,2.000000,2.000000,2.000000,0.000000,2.000000,1
multifamily,chain,4,chain_and_n4,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,chain,4,chain_ff_n4,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,pool,4,pool_and_n4,1,12.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,pool,4,pool_or_n4,1,12.000000,6.000000,2.000000,6.000000,2.000000,0
multifamily,hub,4,and_hub_n4,1,3.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,hub,4,broken_hub_n4,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,or_hub,4,or_hub_n4,1,3.000000,2.000000,2.000000,0.000000,2.000000,1
multifamily,parity,4,parity_hub_n4,1,0.250000,0.500000,2.000000,0.000000,2.000000,0
multifamily,broadcast,4,broadcast_n4,0,0.000000,0.000000,2.000000,0.000000,1.000000,0
multifamily,majority,4,maj_n4,0,0.000000,2.000000,0.000000,0.000000,0.000000,0
multifamily,majority,4,thresh1_n4,1,3.000000,2.000000,2.000000,0.000000,2.000000,1
multifamily,ring,4,ring_n4,1,4.000000,0.000000,0.000000,0.000000,0.000000,1
multifamily,two_hub,4,two_hub_n4,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
