family,locus,p,phi,structure,n_core,major_complex,mc_phi
conjunctive_hub,party_P1,0.17,0.60688209,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.18,0.58523057,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.19,0.56375499,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.20,0.54245752,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.21,0.52134040,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.22,0.50040590,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.23,0.47965637,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.24,0.45909421,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.25,0.43872188,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.26,0.41854191,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.27,0.39855691,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.28,0.37876954,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.29,0.35918256,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.30,0.33979878,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.31,0.32062110,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.32,0.30165252,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.33,0.28289611,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.34,0.26435503,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.35,0.24603256,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.36,0.22793204,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.37,0.21005695,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.38,0.19241087,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.39,0.17499750,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.40,0.15782064,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.41,0.14088425,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.42,0.12419239,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.43,0.10774928,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.44,0.09155929,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.45,0.07562694,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.46,0.05995691,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.47,0.04455406,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.48,0.02942343,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.49,0.01457027,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.50,0.00000000,dyadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P2,0.00,2.00000000,triadic,3,"{S,P1,P2}",2.00000000
conjunctive_hub,party_P2,0.01,0.97564543,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.02,0.95143658,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.03,0.92737495,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.04,0.90346206,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.05,0.87969945,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.06,0.85608870,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.07,0.83263144,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.08,0.80932930,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.09,0.78618399,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.10,0.76319722,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.11,0.74037074,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.12,0.71770638,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.13,0.69520596,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.14,0.67287137,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.15,0.65070453,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.16,0.62870744,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.17,0.60688209,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.18,0.58523057,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.19,0.56375499,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.20,0.54245752,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.21,0.52134040,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.22,0.50040590,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.23,0.47965637,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.24,0.45909421,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.25,0.43872188,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.26,0.41854191,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.27,0.39855691,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.28,0.37876954,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.29,0.35918256,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.30,0.33979878,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.31,0.32062110,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.32,0.30165252,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.33,0.28289611,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.34,0.26435503,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.35,0.24603256,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.36,0.22793204,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.37,0.21005695,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.38,0.19241087,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.39,0.17499750,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.40,0.15782064,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.41,0.14088425,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.42,0.12419239,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.43,0.10774928,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.44,0.09155929,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.45,0.07562694,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.46,0.05995691,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.47,0.04455406,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.48,0.02942343,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.49,0.01457027,triadic,2,"{S,P1}",2.00000000
conjunctive_hub,party_P2,0.50,0.00000000,dyadic,2,"{S,P1}",2.00000000
parity_hub,mediator,0.00,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,mediator,0.01,0.48782271,triadic,3,"{S,P1,P2}",0.48782271
parity_hub,mediator,0.02,0.47571829,triadic,3,"{S,P1,P2}",0.47571829
parity_hub,mediator,0.03,0.46368748,triadic,3,"{S,P1,P2}",0.46368748
parity_hub,mediator,0.04,0.45173103,triadic,3,"{S,P1,P2}",0.45173103
parity_hub,mediator,0.05,0.43984972,triadic,3,"{S,P1,P2}",0.43984972
parity_hub,mediator,0.06,0.42804435,triadic,3,"{S,P1,P2}",0.42804435
parity_hub,mediator,0.07,0.41631572,triadic,3,"{S,P1,P2}",0.41631572
parity_hub,mediator,0.08,0.40466465,triadic,3,"{S,P1,P2}",0.40466465
parity_hub,mediator,0.09,0.39309199,triadic,3,"{S,P1,P2}",0.39309199
parity_hub,mediator,0.10,0.38159861,triadic,3,"{S,P1,P2}",0.38159861
parity_hub,mediator,0.11,0.37018537,triadic,3,"{S,P1,P2}",0.37018537
parity_hub,mediator,0.12,0.35885319,triadic,3,"{S,P1,P2}",0.35885319
parity_hub,mediator,0.13,0.34760298,triadic,3,"{S,P1,P2}",0.34760298
parity_hub,mediator,0.14,0.33643568,triadic,3,"{S,P1,P2}",0.33643568
parity_hub,mediator,0.15,0.32535227,triadic,3,"{S,P1,P2}",0.32535227
parity_hub,mediator,0.16,0.31435372,triadic,3,"{S,P1,P2}",0.31435372
parity_hub,mediator,0.17,0.30344105,triadic,3,"{S,P1,P2}",0.30344105
parity_hub,mediator,0.18,0.29261528,triadic,3,"{S,P1,P2}",0.29261528
parity_hub,mediator,0.19,0.28187749,triadic,3,"{S,P1,P2}",0.28187749
parity_hub,mediator,0.20,0.27122876,triadic,3,"{S,P1,P2}",0.27122876
parity_hub,mediator,0.21,0.26067020,triadic,3,"{S,P1,P2}",0.26067020
parity_hub,mediator,0.22,0.25020295,triadic,3,"{S,P1,P2}",0.25020295
parity_hub,mediator,0.23,0.23982819,triadic,3,"{S,P1,P2}",0.23982819
parity_hub,mediator,0.24,0.22954710,triadic,3,"{S,P1,P2}",0.22954710
parity_hub,mediator,0.25,0.21936094,triadic,3,"{S,P1,P2}",0.21936094
parity_hub,mediator,0.26,0.20927096,triadic,3,"{S,P1,P2}",0.20927096
parity_hub,mediator,0.27,0.19927845,triadic,3,"{S,P1,P2}",0.19927845
parity_hub,mediator,0.28,0.18938477,triadic,3,"{S,P1,P2}",0.18938477
parity_hub,mediator,0.29,0.17959128,triadic,3,"{S,P1,P2}",0.17959128
parity_hub,mediator,0.30,0.16989939,triadic,3,"{S,P1,P2}",0.16989939
parity_hub,mediator,0.31,0.16031055,triadic,3,"{S,P1,P2}",0.16031055
parity_hub,mediator,0.32,0.15082626,triadic,3,"{S,P1,P2}",0.15082626
parity_hub,mediator,0.33,0.14144806,triadic,3,"{S,P1,P2}",0.14144806
parity_hub,mediator,0.34,0.13217752,triadic,3,"{S,P1,P2}",0.13217752
parity_hub,mediator,0.35,0.12301628,triadic,3,"{S,P1,P2}",0.12301628
parity_hub,mediator,0.36,0.11396602,triadic,3,"{S,P1,P2}",0.11396602
parity_hub,mediator,0.37,0.10502848,triadic,3,"{S,P1,P2}",0.10502848
parity_hub,mediator,0.38,0.09620544,triadic,3,"{S,P1,P2}",0.09620544
parity_hub,mediator,0.39,0.08749875,triadic,3,"{S,P1,P2}",0.08749875
parity_hub,mediator,0.40,0.07891032,triadic,3,"{S,P1,P2}",0.07891032
parity_hub,mediator,0.41,0.07044212,triadic,3,"{S,P1,P2}",0.07044212
parity_hub,mediator,0.42,0.06209619,triadic,3,"{S,P1,P2}",0.06209619
parity_hub,mediator,0.43,0.05387464,triadic,3,"{S,P1,P2}",0.05387464
parity_hub,mediator,0.44,0.04577965,triadic,3,"{S,P1,P2}",0.04577965
parity_hub,mediator,0.45,0.03781347,triadic,3,"{S,P1,P2}",0.03781347
parity_hub,mediator,0.46,0.02997845,triadic,3,"{S,P1,P2}",0.02997845
parity_hub,mediator,0.47,0.02227703,triadic,3,"{S,P1,P2}",0.02227703
parity_hub,mediator,0.48,0.01471172,triadic,3,"{S,P1,P2}",0.01471172
parity_hub,mediator,0.49,0.00728513,triadic,3,"{S,P1,P2}",0.00728513
parity_hub,mediator,0.50,0.00000000,dyadic,0,(none),nan
parity_hub,party_P1,0.00,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.01,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.02,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.03,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.04,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.05,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.06,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.07,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.08,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.09,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.10,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.11,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.12,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.13,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.14,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.15,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.16,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.17,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.18,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.19,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.20,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.21,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.22,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.23,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.24,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.25,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.26,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.27,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.28,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.29,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P1,0.30,0.24271341,triadic,3,"{S,P1,P2}",0.24271341
parity_hub,party_P1,0.31,0.23233413,triadic,3,"{S,P1,P2}",0.23233413
parity_hub,party_P1,0.32,0.22180333,triadic,3,"{S,P1,P2}",0.22180333
parity_hub,party_P1,0.33,0.21111650,triadic,3,"{S,P1,P2}",0.21111650
parity_hub,party_P1,0.34,0.20026896,triadic,3,"{S,P1,P2}",0.20026896
parity_hub,party_P1,0.35,0.18925581,triadic,3,"{S,P1,P2}",0.18925581
parity_hub,party_P1,0.36,0.17807191,triadic,3,"{S,P1,P2}",0.17807191
parity_hub,party_P1,0.37,0.16671187,triadic,3,"{S,P1,P2}",0.16671187
parity_hub,party_P1,0.38,0.15517006,triadic,3,"{S,P1,P2}",0.15517006
parity_hub,party_P1,0.39,0.14344057,triadic,3,"{S,P1,P2}",0.14344057
parity_hub,party_P1,0.40,0.13151720,triadic,3,"{S,P1,P2}",0.13151720
parity_hub,party_P1,0.41,0.11939343,triadic,3,"{S,P1,P2}",0.11939343
parity_hub,party_P1,0.42,0.10706240,triadic,3,"{S,P1,P2}",0.10706240
parity_hub,party_P1,0.43,0.09451691,triadic,3,"{S,P1,P2}",0.09451691
parity_hub,party_P1,0.44,0.08174937,triadic,3,"{S,P1,P2}",0.08174937
parity_hub,party_P1,0.45,0.06875176,triadic,3,"{S,P1,P2}",0.06875176
parity_hub,party_P1,0.46,0.05551566,triadic,3,"{S,P1,P2}",0.05551566
parity_hub,party_P1,0.47,0.04203213,triadic,3,"{S,P1,P2}",0.04203213
parity_hub,party_P1,0.48,0.02829176,triadic,3,"{S,P1,P2}",0.02829176
parity_hub,party_P1,0.49,0.01428458,triadic,3,"{S,P1,P2}",0.01428458
parity_hub,party_P1,0.50,0.00000000,dyadic,0,(none),nan
parity_hub,party_P2,0.00,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.01,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.02,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.03,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.04,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.05,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.06,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.07,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.08,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.09,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.10,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.11,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.12,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.13,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.14,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.15,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.16,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.17,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.18,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.19,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.20,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.21,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.22,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.23,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.24,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.25,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.26,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.27,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.28,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.29,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,party_P2,0.30,0.24271341,triadic,3,"{S,P1,P2}",0.24271341
parity_hub,party_P2,0.31,0.23233413,triadic,3,"{S,P1,P2}",0.23233413
parity_hub,party_P2,0.32,0.22180333,triadic,3,"{S,P1,P2}",0.22180333
parity_hub,party_P2,0.33,0.21111650,triadic,3,"{S,P1,P2}",0.21111650
parity_hub,party_P2,0.34,0.20026896,triadic,3,"{S,P1,P2}",0.20026896
parity_hub,party_P2,0.35,0.18925581,triadic,3,"{S,P1,P2}",0.18925581
parity_hub,party_P2,0.36,0.17807191,triadic,3,"{S,P1,P2}",0.17807191
parity_hub,party_P2,0.37,0.16671187,triadic,3,"{S,P1,P2}",0.16671187
parity_hub,party_P2,0.38,0.15517006,triadic,3,"{S,P1,P2}",0.15517006
parity_hub,party_P2,0.39,0.14344057,triadic,3,"{S,P1,P2}",0.14344057
parity_hub,party_P2,0.40,0.13151720,triadic,3,"{S,P1,P2}",0.13151720
parity_hub,party_P2,0.41,0.11939343,triadic,3,"{S,P1,P2}",0.11939343
parity_hub,party_P2,0.42,0.10706240,triadic,3,"{S,P1,P2}",0.10706240
parity_hub,party_P2,0.43,0.09451691,triadic,3,"{S,P1,P2}",0.09451691
parity_hub,party_P2,0.44,0.08174937,triadic,3,"{S,P1,P2}",0.08174937
parity_hub,party_P2,0.45,0.06875176,triadic,3,"{S,P1,P2}",0.06875176
parity_hub,party_P2,0.46,0.05551566,triadic,3,"{S,P1,P2}",0.05551566
parity_hub,party_P2,0.47,0.04203213,triadic,3,"{S,P1,P2}",0.04203213
parity_hub,party_P2,0.48,0.02829176,triadic,3,"{S,P1,P2}",0.02829176
parity_hub,party_P2,0.49,0.01428458,triadic,3,"{S,P1,P2}",0.01428458
parity_hub,party_P2,0.50,0.00000000,dyadic,0,(none),nan
