idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
61,3,0.5,0.05,1,1.2283183384236585,0.9124907902284731,3.859190871347869,1.7716816615763418,0.8591908713478686,-0.4666026915381143,0.26640629200617616,0.7939287514846416,0.06505469644587639,majority|parity|majority,0.43974139312585303,0.6760635218863661,0.031083495044423648,0.07324154435357483,0.19921692047430695,0.9124907902296399
62,3,0.5,0.05,1,1.59090180761472,0.5499073210374118,3.859190871347869,1.4090981923852803,0.8591908713478685,-0.3924401885325376,0.39696437574232085,1.5878575029692834,0.02802458129320016,majority|or|majority,0.21250566268016935,0.5411361935531585,0.019526247266516528,0.09278847272629616,-0.015530361419058447,0.5499073210386396
63,3,0.5,0.05,1,0.6209976784442388,1.5198114502078928,3.859190871347869,2.3790023215557614,0.8591908713478686,-0.036753852043539426,0.0,0.0,0.0,majority|copy|copy,-0.014286327009104038,0.9270523469802009,0.15633977913413144,0.16051459099731205,-0.11494141513697209,1.5198114502080815
64,3,0.5,0.05,1,0.974962601305313,1.1658465273468186,3.859190871347869,2.0250373986946872,0.8591908713478686,-0.12407665285710118,0.0,0.0,0.0,majority|and|majority,-0.14151263827201122,0.2915044135332234,0.43926874902014656,0.052596464127205235,-0.30483612274548655,1.165846527347062
65,3,0.5,0.05,1,0.9802236808084521,1.1605854478436795,3.859190871347869,2.019776319191548,0.8591908713478686,-0.22938999760772427,0.06432030195303928,0.3343303961411919,0.015008919576588104,majority|parity|majority,0.4471320998221632,0.9382194859898981,0.054867366022471664,0.14642714912835833,-0.03573280593175804,1.160585447843629
66,3,0.5,0.05,1,2.0362320914852514,0.1045770371668805,3.859190871347869,0.963767908514749,0.8591908713478685,-0.5031638727717842,0.08358259903529798,0.3343303961411919,0.002774042177895503,and|majority|majority,0.046726755189036684,0.09184837917408706,0.012953729804824121,0.012891282964980462,0.009379177749204229,0.10457703716855979
67,3,0.5,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,-5.551115123125783e-17,0.0,0.0,0.0,copy|parity|and,2.220446049250313e-16,0.7136030428840445,0.0,0.11893384048067397,4.440892098500626e-16,2.1408091286521316
68,3,0.5,0.05,1,1.6860482522287126,0.45476087642341867,3.859190871347869,1.3139517477712874,0.8591908713478688,-0.43916800070937834,0.0,0.0,0.0,majority|copy|or,0.04647010684771441,0.5390608922545235,0.2503523478965679,0.1009074527069842,-0.09381869521403635,0.4547608764247016
69,3,0.5,0.05,1,0.9198941277997337,1.2209150008523975,3.859190871347869,2.0801058722002663,0.8591908713478689,-0.03507659872316782,0.0,0.0,0.0,copy|or|and,-0.2731254431911742,0.3726700612510543,0.6520472016570782,0.0691594888101448,-0.5048641207142042,1.2209150008525802
70,3,0.5,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,-2.220446049250313e-16,0.0,0.0,0.0,and|or|majority,2.220446049250313e-16,1.427206085768088,0.0,0.23786768096134794,0.0,2.1408091286521316
