net_idx,n,density,noise,n_edges,state,phi,n_distinctions,sum_phi_distinctions,n_relations,sum_phi_relations,mean_order,frac_higher_order,max_order
70,4,0.5,0.2,10,0100,0.0,3,0.3384949523028351,4,0.1828290637438152,1.0,0.0,1
71,4,0.5,0.2,7,0100,0.0,5,1.9073243745362922,30,4.202012662586792,1.6,0.4,3
71,4,0.5,0.2,7,1110,0.0,5,1.673582017506566,30,3.5544574842085583,1.6,0.4,3
71,4,0.5,0.2,7,1111,0.0,4,1.4557199943364512,5,1.2560131397638459,1.25,0.25,2
72,4,0.8,0.0,14,1111,0.0,12,4.513909371935086,4091,234.79629821462433,2.0,0.6666666666666666,4
72,4,0.8,0.0,14,0001,0.41503749927884376,7,2.665037499278844,125,13.839839998269222,2.0,0.5714285714285714,4
72,4,0.8,0.0,14,0110,0.0,4,2.4338343733773984,15,3.7420424466997164,2.0,0.5,4
73,4,0.8,0.0,12,1000,0.19264507794239583,6,3.023684376262023,38,8.72261927254608,1.6666666666666667,0.5,3
73,4,0.8,0.0,12,0000,0.41503749927884376,10,5.457518749639422,338,57.65957858582702,1.8,0.6,3
73,4,0.8,0.0,12,1111,0.0,7,2.144425146626549,95,10.174199205149538,1.4285714285714286,0.42857142857142855,2
74,4,0.8,0.0,14,1001,0.0,5,2.792481250360578,17,5.242982290404644,1.8,0.4,4
74,4,0.8,0.0,14,0001,0.0,5,2.1258145836939115,16,3.6985378459601987,1.8,0.4,4
74,4,0.8,0.0,14,1000,0.0,8,2.7508145836939115,143,11.799232290404642,1.75,0.5,4
75,4,0.8,0.05,11,0001,0.0,2,0.2725947461000091,2,0.11910867585234065,2.0,0.5,3
75,4,0.8,0.05,11,0101,0.0,1,0.1031321831859835,0,0.0,1.0,0.0,1
75,4,0.8,0.05,11,1111,0.0,9,2.183792006121619,510,33.901094889625504,2.111111111111111,0.6666666666666666,4
76,4,0.8,0.05,12,0011,0.07974610341174508,5,0.38865605238516654,29,0.8781897769209184,2.8,0.8,4
76,4,0.8,0.05,12,1011,0.07974610341174508,6,0.5614024592216889,61,1.942611179357905,2.5,0.6666666666666666,4
76,4,0.8,0.05,12,1001,0.07974610341174508,5,0.38865605238516665,31,1.1602397155380013,2.8,0.8,4
77,4,0.8,0.05,14,1000,0.0,1,0.05940317476470239,1,0.011880634952940478,4.0,1.0,4
77,4,0.8,0.05,14,0000,0.0,8,1.5544565377008102,253,12.264544414093015,2.0,0.625,4
77,4,0.8,0.05,14,0010,0.0,0,0.0,0,0.0,0.0,0.0,0
78,4,0.8,0.2,14,1100,7.322117723005527e-17,1,0.11361520389794229,1,0.028403800974485572,1.0,0.0,1
78,4,0.8,0.2,14,0011,0.0,3,0.22830502837342595,2,0.040515304788625583,1.0,0.0,1
78,4,0.8,0.2,14,1011,0.0,3,0.1765892008930983,2,0.038146869885761985,1.6666666666666667,0.3333333333333333,3
79,4,0.8,0.2,11,1011,0.0,5,1.126561829039756,11,0.45486691136579427,1.2,0.2,2
79,4,0.8,0.2,11,0110,0.0,5,0.7187795977715236,5,0.2576448509871084,1.2,0.2,2
79,4,0.8,0.2,11,1110,0.0,5,1.0768923330253832,11,0.3869191834605653,1.2,0.2,2
80,4,0.8,0.2,16,0011,0.0,1,0.06780719051126377,0,0.0,1.0,0.0,1
80,4,0.8,0.2,16,1011,0.0,4,0.8559527316677067,14,1.0334968940349862,1.5,0.5,2
80,4,0.8,0.2,16,1110,0.0,7,1.0038482689757677,124,3.8602738501484484,1.8571428571428572,0.5714285714285714,4
