idx,gates,phi_mean,phi_max,n_states_evaluated,n,density,noise,n_edges,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy
630,majority|copy|and|copy,0.0,0.0,8,4,0.8,0.0,14,1.5575341179820887,0.0,0.021931568569324173,0.0,0.8683927290103627,-0.6962122601251459,0.0,-0.6962122601251459
631,copy|and|majority|or,0.0,0.0,6,4,0.8,0.0,14,1.4537003313080703,2.5849394142282115e-26,0.021931568569324173,0.0,1.9746017527145812,-0.9886994082884974,0.0,-1.2157449120848132
632,majority|and|majority|majority,0.0,0.0,6,4,0.8,0.0,13,2.032218847501627,2.5849394142282115e-26,0.027414460711655216,0.2012044682111304,1.1994602933016414,-0.8960382325345575,0.0,-0.8960382325345575
633,copy|copy|and|parity,0.0,0.0,6,4,0.8,0.0,14,2.0,0.9999999999586945,0.0383802449963173,0.12519400835555008,2.0,-1.0,0.25,-1.0
634,majority|copy|copy|majority,0.0,0.0,9,4,0.8,0.0,13,1.630693329598789,2.5849394142282115e-26,0.0383802449963173,0.5975448987577575,0.5435644431995963,-0.5435644431995963,0.0,-0.5435644431995963
635,copy|or|copy|and,0.0,0.0,4,4,0.8,0.0,11,3.0,0.0,0.021931568569324173,0.0003340013360053436,1.0,-1.0,0.0,-1.0
636,majority|copy|and|parity,0.10375937481971094,0.41503749927884376,8,4,0.8,0.0,14,0.7862676701987408,2.5849394142282115e-26,0.021931568569324173,0.16666666666666666,1.1216407621868583,-0.3372900666170139,0.0,-0.3372900666170139
637,majority|and|parity|or,0.04611527769764931,0.41503749927884376,9,4,0.8,0.0,12,0.48206041693433366,1.1576509335017193,0.0383802449963173,0.27096193788155404,1.764097655573916,0.0,0.08994996022338482,-0.4378925962693143
638,and|majority|majority|parity,0.0,0.0,10,4,0.8,0.0,8,1.325709086004053,2.222256575295876,0.027414460711655216,0.3497110647143042,2.077819531114783,-0.43383437337739883,0.2683019074872245,-1.069134188151182
639,or|or|copy|or,0.5,2.0,4,4,0.8,0.0,12,1.0118701998510415,2.5849394142282115e-26,0.027414460711655216,0.40213263400990523,0.3372900666170139,-0.3372900666170139,0.0,-0.3372900666170139
640,parity|majority|or|copy,0.0471395196194006,0.7542323139104096,16,4,0.8,0.05,14,0.3123000295740561,2.0377333885233018,0.4715287242404697,0.24335735786863003,1.9117088962262905,0.30592857417561437,0.16241536681651164,-0.14015339659939224
641,majority|copy|and|or,0.0,0.0,16,4,0.8,0.05,12,0.09018468277391678,1.5440114209376237,0.43863137138648345,0.11979572571735984,1.8052140086056356,0.274172752687884,0.12513105347858466,-0.06138469354386533
