idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_mean,phi_max,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
68,3,0.5,0.05,1,0.5566552876202702,1.5841538410318614,3.859190871347869,2.44334471237973,0.8591908713478686,0.0,0.0,-0.03485396356767023,0.5307854001103842,0.55665528762027,0.08422003527429771,-0.44387021534904214,1.5841538410318612
69,3,0.5,0.05,1,0.42766871226511527,1.7131404163870163,3.859190871347869,2.572331287734885,0.8591908713478686,0.0,0.0,0.28593433061892887,2.140809128652131,0.42766871226511505,0.5257284353069774,-0.3663328073921195,1.7131404163870165
70,3,0.5,0.05,1,1.87212110331844,0.2686880253336913,3.859190871347869,1.12787889668156,0.8591908713478688,0.14103239345322918,0.7939287514846416,0.05582991504487084,0.2749426199054319,0.009112784736635238,0.041233674598990806,0.002479711697154413,0.26868802533514685
71,3,0.5,0.05,1,0.8733500455727297,1.267459083079402,3.859190871347869,2.1266499544272706,0.8591908713478686,0.0,0.0,-0.056828750786854565,0.3861085631839757,0.39154158006255013,0.07689477779113789,-0.30447149336393164,1.2674590830796768
72,3,0.5,0.05,1,0.9292475566673923,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478689,0.0,0.0,-0.3339383779807612,0.7308741310403369,0.9292475566673923,0.15780626002787249,-0.5730814362691491,1.2115615719847388
73,3,0.5,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,1.5878575029692836,1.5878575029692836,1.4272060857680875,2.1408091286521316,0.0,0.35680152144202193,1.1102230246251565e-16,2.1408091286521316
74,3,0.5,0.05,1,1.59090180761472,0.5499073210374118,3.859190871347869,1.4090981923852803,0.8591908713478685,0.39696437574232085,1.5878575029692834,0.21250566268016935,0.5411361935531585,0.019526247266516528,0.09278847272629616,-0.015530361419058447,0.5499073210386396
75,3,0.5,0.2,1,0.23407112879486913,0.6001445865430437,5.165784284662087,2.765928871205131,2.165784284662087,0.0,0.0,0.15560839607804022,0.40313431465458116,0.054131992485850766,0.06802368199110538,-0.00035358990974829196,0.600144586543041
76,3,0.5,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,0.6943456308353413,0.6943456308353413,0.556143810225276,0.8342157153379128,0.0,0.1390359525563189,3.3306690738754696e-16,0.8342157153379128
77,3,0.5,0.2,1,0.3066766693397849,0.527539045998128,5.165784284662087,2.693323330660215,2.165784284662087,0.019171858038970112,0.1533748643117609,0.2689747808582548,0.5332232569130535,0.03385836687181554,0.08248809542175253,0.006944577084506708,0.5275390459981559
78,3,0.5,0.2,1,0.09914748587980604,0.7350682294581068,5.165784284662087,2.900852514120194,2.165784284662087,0.16610843894614155,0.6943456308353413,0.42739419536032036,0.7563185179222711,0.03353146174126831,0.07669243746472193,0.18346002752036805,0.7350682294581126
79,3,0.5,0.2,1,0.24185743666836412,0.5923582786695496,5.165784284662087,2.7581425633316363,2.1657842846620867,0.0,0.0,0.23297177589760001,0.5723358259231404,0.05652868264281308,0.09225804190273497,-0.013915025928473221,0.5923582786695873
80,3,0.5,0.2,1,0.34007895488765616,0.4941367604502567,5.165784284662087,2.659921045112344,2.165784284662087,0.08679320385441766,0.6943456308353413,0.2327304377537872,0.48987083159845124,0.006444645152769102,0.08014693420085622,0.01019606280164953,0.49413676045030824
81,3,0.5,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,0.0,0.0,1.6653345369377348e-16,0.24415000270786358,0.09561854227550626,0.040691667117977254,-0.05036075937776596,0.7385971730624069
82,3,0.5,0.2,1,0.2051783902015769,0.6290373251363359,5.165784284662087,2.794821609798423,2.165784284662087,0.0,0.0,5.551115123125783e-17,0.30289700178579526,0.020061634403064854,0.050482833630965895,1.6653345369377348e-16,0.6290373251363752
83,3,0.5,0.2,1,0.2051783902015769,0.6290373251363359,5.165784284662087,2.794821609798423,2.165784284662087,0.0,0.0,7.771561172376096e-16,0.3028970017857957,0.02006163440306441,0.05048283363096603,7.771561172376096e-16,0.6290373251363751
84,3,0.5,0.2,1,0.19831965962736486,0.635896055710548,5.165784284662087,2.801680340372635,2.165784284662087,0.0,0.0,0.0333876267690521,0.061311405186402546,0.007532894953387714,0.007897733766908078,0.015755448436526875,0.635896055710558
85,3,0.5,0.2,1,0.0956185422755067,0.738597173062407,5.165784284662087,2.9043814577244937,2.1657842846620867,0.0,0.0,0.18245336283713143,0.8342157153379128,0.09561854227550626,0.1446896029571145,-0.03392190240477505,0.738597173062407
86,3,0.5,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,0.0,0.0,0.27807190511263835,0.8342157153379124,0.0,0.13903595255631884,4.440892098500626e-16,0.8342157153379128
87,3,0.5,0.2,1,0.18970004536806062,0.6445156699698522,5.165784284662087,2.8102999546319394,2.165784284662087,0.0,0.0,0.05984677373091751,0.3158433362593671,0.05329298878901412,0.05411240764648193,-0.017144138173356503,0.6445156699698662
88,3,0.5,0.2,1,0.12508982651401146,0.7091258888239014,5.165784284662087,2.8749101734859885,2.165784284662087,0.0,0.0,0.09479296737175003,0.19519688019576797,0.05915788188950222,0.02238237981755684,-0.02933324741250587,0.709125888823902
89,3,0.5,0.2,1,0.36596559688799335,0.46825011844992126,5.165784284662087,2.6340344031120075,2.1657842846620863,0.0,0.0,2.220446049250313e-16,0.13738295466634254,0.019458341873266782,0.022897159111057133,1.1102230246251565e-16,0.46825011844999553
90,3,0.8,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,0.0,0.0,-0.8112781244591328,0.0,1.104842567658729,0.0,-0.8112781244591328,1.061278124459133
91,3,0.8,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.6666666666666666,2.0,-0.5435644431995963,0.0,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
92,3,0.8,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,0.0,0.0,-0.8112781244591328,0.0,0.8112781244591329,0.0,-0.8112781244591328,1.8112781244591327
93,3,0.8,0.0,0,1.5943609377704335,1.4056390622295665,3.0,1.4056390622295665,0.0,0.25,1.0,-0.5435644431995963,2.5849394142282115e-26,0.6359238270945913,0.0,-0.5435644431995963,1.4056390622295662
94,3,0.8,0.0,0,0.75,2.25,3.0,2.25,0.0,0.0,0.0,-0.2935644431995963,1.9999999999173892,0.2935644431995965,0.3852130207431888,-0.2935644431995963,2.25
95,3,0.8,0.0,0,1.5943609377704335,1.4056390622295665,3.0,1.4056390622295665,0.0,0.0,0.0,-1.0,2.5849394142282115e-26,1.13792538097003,0.0,-1.0,1.4056390622295662
96,3,0.8,0.0,0,2.188721875540867,0.8112781244591328,3.0,0.8112781244591328,0.0,0.0,0.0,0.0,0.0,8.261158424005544e-11,0.0,0.0,0.8112781244591328
97,3,0.8,0.0,0,0.5,2.5,3.0,2.5,0.0,0.0,0.0,-0.31127812445913294,0.0,0.31127812445913294,0.0,-0.31127812445913294,2.5
