label,triadic,phi_exact,EI,CE,O_info,phi_AR,phi_R
W3_S13_C0,0,0.0,0.811278,0.188722,-8.5e-05,0.216848,0.13346
W3_S14_C0,0,0.0,0.811278,0.188722,-7e-06,0.004236,0.000603
W3_S15_C0,0,0.0,0.0,0.0,-1.2e-05,0.000657,0.000715
W3_S0_C1,0,0.0,1.0,0.0,-0.000722,0.001137,0.000949
W3_S1_C1,0,0.0,1.811278,0.107018,-9.7e-05,0.171496,0.107529
W3_S2_C1,0,0.0,1.811278,0.188722,-2.7e-05,0.082032,0.002213
W3_S3_C1,0,0.0,2.0,0.0,-6.4e-05,0.000971,0.001294
W3_S4_C1,0,0.0,1.811278,0.107018,-0.00013,0.011741,0.01382
W3_S5_C1,0,0.0,2.0,0.0,-0.000513,0.260233,0.139436
W3_S6_C1,0,0.0,2.0,0.0,-1.2e-05,0.001239,0.002152
W3_S7_C1,0,0.0,1.811278,0.188722,-0.000214,0.088236,0.000255
W3_S8_C1,0,0.0,1.811278,0.188722,-0.000609,0.049888,0.000606
W3_S9_C1,0,0.0,2.0,0.0,-2.5e-05,0.000641,0.001426
W3_S10_C1,0,0.0,2.0,0.0,-1e-06,0.255564,0.113701
W3_S11_C1,0,0.0,1.811278,0.107018,-0.000838,0.155884,0.118447
W3_S12_C1,0,0.0,2.0,0.0,-0.000218,0.0003,0.00152
W3_S13_C1,0,0.0,1.811278,0.188722,-5.4e-05,0.044911,0.000517
W3_S14_C1,0,0.0,1.811278,0.107018,-0.001027,0.007521,0.015433
W3_S15_C1,0,0.0,1.0,0.0,-0.000394,0.000717,0.000881
W3_S0_C2,0,0.0,1.0,0.0,-0.00013,0.000361,0.000657
W3_S1_C2,0,0.0,1.811278,0.107018,-0.000214,0.008916,0.001368
W3_S2_C2,0,0.0,1.811278,0.188722,-4.8e-05,0.048589,0.001035
W3_S3_C2,0,0.0,2.0,0.0,-0.000135,0.000526,0.002095
W3_S4_C2,0,0.0,1.811278,0.107018,-9e-06,0.165171,0.001366
W3_S5_C2,0,0.0,2.0,0.0,-2.4e-05,0.255261,0.002017
W3_S6_C2,0,0.0,2.0,0.0,-6.7e-05,0.00057,0.001794
W3_S7_C2,0,0.0,1.811278,0.188722,-0.00046,0.059582,0.001166
