form,party,influence,in_core
125,W,0.5,True
125,C1,0.5,False
125,C2,0.5,False
126,W,0.5,True
126,C1,0.5,True
126,C2,0.5,True
127,W,0.25,True
127,C1,0.25,True
127,C2,0.25,True
128,W,0.25,True
128,C1,0.25,True
128,C2,0.25,True
129,W,0.5,True
129,C1,0.5,True
129,C2,0.5,True
130,W,0.5,True
130,C1,0.5,False
130,C2,0.5,False
131,W,0.25,False
131,C1,0.75,True
131,C2,0.75,True
132,W,0.5,False
132,C1,0.5,True
132,C2,0.5,False
133,W,0.75,True
133,C1,0.25,False
133,C2,0.75,True
134,W,0.75,True
134,C1,0.75,True
134,C2,0.75,True
135,W,0.5,False
135,C1,0.5,False
135,C2,1.0,True
136,W,0.5,True
136,C1,0.5,True
136,C2,0.0,False
137,W,0.75,True
137,C1,0.75,True
137,C2,0.25,False
138,W,0.75,True
138,C1,0.25,False
138,C2,0.25,False
139,W,0.5,False
139,C1,0.5,False
139,C2,0.5,True
140,W,0.25,False
140,C1,0.75,True
140,C2,0.25,False
141,W,0.5,False
141,C1,0.5,False
141,C2,0.5,True
142,W,0.5,False
142,C1,0.5,True
142,C2,0.5,False
143,W,0.25,False
143,C1,0.25,False
143,C2,0.75,True
144,W,0.5,False
144,C1,0.5,False
144,C2,0.5,True
145,W,0.75,True
145,C1,0.75,True
145,C2,0.25,False
146,W,0.75,True
146,C1,0.75,True
146,C2,0.75,True
147,W,0.5,False
147,C1,1.0,True
147,C2,0.5,False
148,W,0.75,True
148,C1,0.75,True
148,C2,0.75,True
149,W,1.0,True
149,C1,0.5,False
149,C2,0.5,False
150,W,1.0,True
150,C1,1.0,True
150,C2,1.0,True
151,W,0.75,True
151,C1,0.75,True
151,C2,0.75,True
152,W,0.75,True
152,C1,0.75,True
152,C2,0.25,False
153,W,1.0,True
153,C1,1.0,True
153,C2,0.0,False
154,W,1.0,True
154,C1,0.5,False
154,C2,0.5,False
155,W,0.75,True
155,C1,0.75,True
155,C2,0.25,False
156,W,0.5,False
156,C1,1.0,True
156,C2,0.5,False
157,W,0.75,True
157,C1,0.75,True
157,C2,0.25,False
158,W,0.75,True
158,C1,0.75,True
158,C2,0.75,True
159,W,0.5,True
159,C1,0.5,True
159,C2,0.5,False
160,W,0.5,True
160,C1,0.0,False
160,C2,0.5,True
161,W,0.75,True
161,C1,0.25,False
161,C2,0.75,True
162,W,0.75,True
162,C1,0.25,False
162,C2,0.25,False
163,W,0.5,False
163,C1,0.5,True
163,C2,0.5,False
164,W,0.75,True
164,C1,0.25,False
164,C2,0.75,True
165,W,1.0,True
165,C1,0.0,False
165,C2,1.0,True
166,W,1.0,True
166,C1,0.5,False
166,C2,0.5,False
167,W,0.75,True
167,C1,0.25,False
167,C2,0.75,True
168,W,0.75,True
168,C1,0.25,False
168,C2,0.25,False
169,W,1.0,True
169,C1,0.5,False
169,C2,0.5,False
170,W,1.0,True
170,C1,0.0,False
170,C2,0.0,False
171,W,0.75,True
171,C1,0.25,False
171,C2,0.25,False
172,W,0.5,False
172,C1,0.5,True
172,C2,0.5,False
173,W,0.75,True
173,C1,0.25,False
173,C2,0.75,True
174,W,0.75,True
174,C1,0.25,False
174,C2,0.25,False
175,W,0.5,False
175,C1,0.0,False
175,C2,0.5,True
176,W,0.25,False
176,C1,0.25,False
176,C2,0.75,True
177,W,0.5,False
177,C1,0.5,True
177,C2,0.5,False
178,W,0.5,False
178,C1,0.5,False
178,C2,0.5,True
179,W,0.25,False
179,C1,0.75,True
179,C2,0.25,False
180,W,0.5,False
180,C1,0.5,False
180,C2,1.0,True
181,W,0.75,True
181,C1,0.25,False
181,C2,0.75,True
182,W,0.75,True
182,C1,0.75,True
182,C2,0.75,True
183,W,0.5,True
183,C1,0.5,False
183,C2,0.5,True
184,W,0.5,False
184,C1,0.5,False
184,C2,0.5,True
185,W,0.75,True
185,C1,0.75,True
185,C2,0.25,False
186,W,0.75,True
186,C1,0.25,False
186,C2,0.25,False
187,W,0.5,False
187,C1,0.5,True
187,C2,0.0,False
188,W,0.25,False
188,C1,0.75,True
188,C2,0.75,True
189,W,0.5,False
189,C1,0.5,False
189,C2,0.5,False
190,W,0.5,True
190,C1,0.5,False
190,C2,0.5,False
191,W,0.25,True
191,C1,0.25,False
191,C2,0.25,False
192,W,0.0,False
192,C1,0.5,True
192,C2,0.5,True
193,W,0.25,False
193,C1,0.75,True
193,C2,0.75,True
194,W,0.25,False
194,C1,0.75,True
194,C2,0.75,True
195,W,0.0,False
195,C1,1.0,True
195,C2,1.0,True
196,W,0.25,False
196,C1,0.75,True
196,C2,0.25,False
197,W,0.5,True
197,C1,0.5,False
197,C2,0.5,False
198,W,0.5,False
198,C1,1.0,True
198,C2,0.5,False
199,W,0.25,False
199,C1,0.75,True
199,C2,0.75,True
200,W,0.25,False
200,C1,0.75,True
200,C2,0.25,False
201,W,0.5,False
201,C1,1.0,True
201,C2,0.5,False
202,W,0.5,True
202,C1,0.5,False
202,C2,0.5,False
203,W,0.25,False
203,C1,0.75,True
203,C2,0.75,True
204,W,0.0,False
