idx,density,noise,n_edges,gates,ei_micro,ei_macro_best,causal_emergence,macro_n_states,phi_mean,phi_max
45,0.3,0.35,3,and|or|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
46,0.3,0.35,4,parity|copy|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
47,0.3,0.35,3,majority|parity|and,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
48,0.3,0.35,3,or|and|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
49,0.3,0.35,3,copy|copy|parity,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
50,0.3,0.35,5,majority|parity|or,0.16190444730171905,0.16190444730171905,0.0,8,0.0,0.0
51,0.3,0.35,4,copy|parity|and,0.19779583387352728,0.19779583387352728,0.0,8,0.0,0.0
52,0.3,0.35,3,copy|copy|or,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
53,0.3,0.35,3,copy|copy|majority,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
54,0.3,0.35,5,or|or|or,0.16190474303389957,0.16190474303389957,0.0,8,0.0,0.0
55,0.3,0.35,3,parity|and|or,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
56,0.3,0.35,5,parity|and|and,0.1617767418214484,0.17863398409382114,0.01685724227237273,6,0.0,0.0
57,0.3,0.35,4,or|or|parity,0.18000918084867656,0.18000918084867656,0.0,8,0.0,0.0
58,0.3,0.35,4,or|copy|or,0.17290784614599897,0.17290784614599897,0.0,8,0.0,0.0
59,0.3,0.35,5,copy|copy|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
60,0.5,0.0,6,and|or|and,1.9056390622295665,2.0,0.09436093777043353,4,0.0,0.0
61,0.5,0.0,3,parity|copy|majority,3.0,3.0,0.0,8,0.0,0.0
62,0.5,0.0,4,copy|copy|parity,2.0,2.0,0.0,8,0.0,0.0
63,0.5,0.0,5,or|copy|or,1.811278124459133,2.0,0.18872187554086706,4,0.5,2.0
64,0.5,0.0,6,copy|and|or,2.5,2.584962500721156,0.08496250072115608,6,0.0,0.0
65,0.5,0.0,5,majority|majority|majority,2.5,2.5,0.0,8,0.0,0.0
66,0.5,0.0,5,or|copy|parity,1.4056390622295665,1.584962500721156,0.1793234384915896,3,0.0,0.0
67,0.5,0.0,4,copy|parity|or,3.0,3.0,0.0,8,0.0,0.0
68,0.5,0.0,4,or|copy|majority,2.0,2.0,0.0,8,0.0,0.0
69,0.5,0.0,6,or|copy|copy,2.0,2.0,0.0,8,0.0,0.0
70,0.5,0.0,4,and|majority|and,2.5,2.5,0.0,8,0.6666666666666666,2.0
71,0.5,0.0,6,or|parity|and,2.5,2.5216406363433186,0.021640636343318587,7,0.0,0.0
72,0.5,0.0,4,majority|parity|copy,2.0,2.0,0.0,8,0.0,0.0
73,0.5,0.0,4,parity|copy|copy,3.0,3.0,0.0,8,0.0,0.0
74,0.5,0.0,6,or|or|and,2.1556390622295662,2.2516291673878226,0.09599010515825634,6,0.0,0.0
75,0.5,0.1,4,copy|majority|copy,1.3828218444636975,1.3828218444636975,0.0,8,0.0,0.0
76,0.5,0.1,8,copy|copy|majority,1.1805715532296808,1.1805715532296808,0.0,8,0.0,0.0
77,0.5,0.1,5,or|copy|and,1.2460509261506383,1.2460509261506383,0.0,8,0.15454743621963968,1.2363794897571174
78,0.5,0.1,8,or|and|majority,0.8364031303674078,0.966237161248032,0.12983403088062428,5,0.0,0.0
79,0.5,0.1,6,copy|parity|majority,1.464179046618899,1.464179046618899,0.0,8,0.18758663470357126,1.2363794897571174
80,0.5,0.1,3,majority|copy|copy,1.5930132192321564,1.5930132192321564,0.0,8,1.2363794897571174,1.2363794897571174
81,0.5,0.1,3,parity|majority|or,1.5930132192321564,1.5930132192321564,0.0,8,1.2363794897571174,1.2363794897571174
82,0.5,0.1,4,copy|majority|majority,1.2512145951650182,1.2512145951650182,0.0,8,0.0,0.0
83,0.5,0.1,7,or|and|and,1.036526300719049,1.113735316065466,0.07720901534641689,6,0.0,0.0
84,0.5,0.1,3,parity|copy|copy,0.8624177306350442,0.8624177306350447,4.440892098500626e-16,6,0.0,0.0
85,0.5,0.1,4,copy|and|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
86,0.5,0.1,5,majority|or|copy,1.4330517420962967,1.4330517420962967,0.0,8,0.0,0.0
87,0.5,0.1,5,or|majority|and,1.2255032822066831,1.2255032822066831,0.0,8,0.0,0.0
