idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
120,3,0.8,0.2,7.0,copy|or|and,0.0,0.0,8,0.022037537162562515,0.1623744927499069,0.8440597428306594,0.08905517359080699,7.0
121,3,0.8,0.2,6.0,copy|and|copy,0.0,0.0,8,0.05915788188950177,0.7513406904210433,0.8792288987819369,0.08717706384192973,6.0
122,3,0.8,0.2,6.0,and|and|parity,0.0,0.0,8,0.01429233301797117,0.17030469695070583,0.8721950675916813,0.15131475144709475,6.0
123,3,0.8,0.2,9.0,parity|and|or,0.0,0.0,8,0.01494771223558855,0.42140024936585174,0.9073642235429589,0.05658808034997082,9.0
124,3,0.8,0.2,6.0,parity|parity|or,0.0,0.0,8,0.13052815856478972,0.7415075163039897,0.9566010418747473,0.20254007497057355,6.0
125,3,0.8,0.2,8.0,copy|parity|copy,0.6943456308353413,0.6943456308353413,8,0.0,0.8342157153379124,0.8721950675916813,0.041035138014777796,8.0
126,3,0.8,0.2,7.0,or|or|parity,0.08679320385441766,0.6943456308353413,8,0.005891499399643951,0.2989096837969023,0.9003303923527033,0.02484789349143804,7.0
127,3,0.8,0.2,8.0,or|parity|majority,0.01917185803897013,0.15337486431176103,8,0.016533382112006834,0.5019197643783007,0.8721950675916813,0.08630413245183015,8.0
128,3,0.8,0.2,8.0,majority|parity|and,0.03834371607794024,0.3067497286235219,8,0.014487968198419576,0.4591558251908716,0.8792288987819369,0.08547265666977721,8.0
129,3,0.8,0.2,9.0,copy|parity|parity,0.0,0.0,8,0.11354546070873628,0.5474115724648998,0.8792288987819369,0.17040454152659623,9.0
130,3,0.8,0.2,8.0,parity|and|parity,0.0,0.0,8,0.00436588772294888,0.5283090389083118,0.9143980547332143,0.07369461913876152,8.0
131,3,0.8,0.2,6.0,copy|majority|copy,0.17358640770883532,0.6943456308353413,8,0.01748832420190194,0.5514799572621061,0.8581274052111704,0.09978300912870498,6.0
132,3,0.8,0.2,7.0,or|or|parity,0.08679320385441766,0.6943456308353413,8,0.006318653068019042,0.39902013302566575,0.9003303923527033,0.06222931446633464,7.0
133,3,0.8,0.2,7.0,majority|majority|parity,0.0,0.0,8,0.02120597071325525,0.47975450987691026,0.8862627299721924,0.08700793824060271,7.0
134,3,0.8,0.2,8.0,or|and|and,0.0,0.0,8,0.0073005364063383205,0.15876663499481358,0.8721950675916813,0.07091637304520222,8.0
135,4,0.3,0.0,5.0,parity|parity|or|copy,0.0,0.0,4,1.9338343733773984,0.0,0.021931568569324173,0.16666666666666666,5.0
136,4,0.3,0.0,5.0,parity|and|parity|or,0.0,0.0,8,1.2391732084893192e-10,0.0,0.03289735285398626,0.11853980823522153,5.0
137,4,0.3,0.0,5.0,copy|and|parity|copy,0.0,0.0,8,0.8112781244591329,3.737516816071044,0.021931568569324173,0.0,5.0
138,4,0.3,0.0,9.0,majority|and|or|parity,0.0,0.0,5,1.1129796483392527,2.5849394142282115e-26,0.021931568569324173,0.0,9.0
139,4,0.3,0.0,6.0,copy|majority|and|and,0.0,0.0,8,1.0,2.999999999876084,0.027414460711655216,0.49866932269853903,6.0
140,4,0.3,0.0,6.0,and|parity|and|parity,0.0,0.0,8,1.6225562489182659,2.688721875427277,0.027414460711655216,0.5,6.0
141,4,0.3,0.0,6.0,copy|copy|copy|and,0.0,0.0,10,0.212290066617014,2.9999999998760836,0.0383802449963173,0.27107906520892106,6.0
142,4,0.3,0.0,4.0,copy|copy|copy|parity,0.0,0.0,8,2.0,0.0,0.027414460711655216,0.11773298367161932,4.0
143,4,0.3,0.0,9.0,parity|majority|copy|parity,0.0,0.0,12,1.197760531285148,2.560095532293311,0.03289735285398626,0.33308289492489385,9.0
