idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
176,4,0.3,0.2,6.0,majority|copy|and|majority,0.0,0.0,16,0.17459271446363722,0.6610214378561459,0.8608140663459738,0.19212397177731733,6.0
177,4,0.3,0.2,4.0,or|and|copy|parity,0.0,0.0,16,0.0956185422755067,0.8002938129331372,0.8717798506306359,0.07961159153754073,4.0
178,4,0.3,0.2,6.0,copy|copy|majority|majority,1.5705725885144984e-17,9.011837197545262e-17,16,0.26365354721378687,0.7349250557086675,0.89371141919996,0.23401207055721251,6.0
179,4,0.3,0.2,5.0,majority|parity|parity|majority,0.0,0.0,16,0.09561854227550626,0.8002938129331381,0.9375745563386084,0.07380651591387495,5.0
180,4,0.5,0.0,9.0,majority|and|and|and,0.0,0.0,7,1.2280021940011117,1.7342878725332909,0.021931568569324173,0.0,9.0
181,4,0.5,0.0,10.0,or|or|or|and,0.0,0.0,4,1.1431765133625236,0.0,0.021931568569324173,0.0,10.0
182,4,0.5,0.0,8.0,or|majority|copy|and,0.0,0.0,3,1.630693329598789,0.0,0.021931568569324173,0.49999999999999994,8.0
183,4,0.5,0.0,9.0,majority|or|and|parity,0.0,0.0,6,2.13792538097003,0.0,0.010965784284662087,0.0,9.0
184,4,0.5,0.0,11.0,or|majority|or|and,0.0,0.0,6,1.350215447587044,0.0,0.027414460711655216,0.16666666666666666,11.0
185,4,0.5,0.0,10.0,or|copy|parity|parity,0.2,1.0,5,0.6745801332753335,2.5849394142282115e-26,0.01644867642699313,0.0,10.0
186,4,0.5,0.0,9.0,or|and|and|parity,0.0,0.0,6,1.153637508354128,1.856844121451557,0.021931568569324173,0.0,9.0
187,4,0.5,0.0,8.0,or|and|and|parity,0.0,0.0,6,1.1129796483392527,5.169878828456423e-26,0.010965784284662087,0.0,8.0
188,4,0.5,0.0,6.0,or|and|copy|and,0.0,0.0,8,2.4338343733773984,0.0,0.021931568569324173,0.00033400133600534416,6.0
189,4,0.5,0.0,8.0,majority|parity|and|or,0.1660149997115375,0.41503749927884376,10,1.652232010585627e-10,0.0,0.03289735285398626,0.3997854836348545,8.0
190,4,0.5,0.0,11.0,copy|parity|parity|and,0.2155870467654375,1.0,10,0.24031388013998534,2.6503982471615024,0.010965784284662087,0.0,11.0
191,4,0.5,0.0,10.0,copy|majority|or|copy,0.0,0.0,6,3.0,0.0,0.010965784284662087,0.0,10.0
192,4,0.5,0.0,9.0,majority|parity|or|copy,0.0,0.0,6,1.5,3.6225562487530434,0.043863137138648346,0.3340013386827308,9.0
193,4,0.5,0.0,9.0,and|copy|or|copy,0.0,0.0,9,0.3713839743143801,1.811278124376522,0.027414460711655216,0.16666666666666666,9.0
194,4,0.5,0.0,9.0,or|parity|copy|copy,0.0,0.0,4,2.0,0.9999999999586943,0.027414460711655216,0.0,9.0
195,4,0.5,0.05,8.0,and|majority|or|copy,0.0,0.0,16,1.4770540510098038,1.009843051974328,0.42766558710182134,0.6839390822122929,8.0
196,4,0.5,0.05,6.0,copy|majority|majority|and,0.0,0.0,16,1.1582537049442276,1.6011281833454223,0.41121691067482824,0.6590927566582679,6.0
197,4,0.5,0.05,7.0,or|or|majority|copy,0.0,0.0,16,0.030513329751774343,0.6653980664079764,0.3728366656785109,0.304018562524011,7.0
198,4,0.5,0.05,9.0,parity|or|and|majority,0.0,0.0,16,0.4806755656228061,0.6981047595147918,0.42766558710182134,0.439322812646296,9.0
199,4,0.5,0.05,9.0,copy|copy|or|and,0.0,0.0,16,0.4571193996774263,1.7660852873313073,0.42218269495949035,0.24853156863221734,9.0
200,4,0.5,0.05,11.0,parity|or|majority|copy,0.01985086727088327,0.3176138763341323,16,0.31842882425411423,2.1431291827095964,0.4441142635288145,0.1438302835486062,11.0
201,4,0.5,0.05,6.0,copy|majority|parity|and,0.0471395196194006,0.7542323139104096,16,0.11442020756852878,0.5661204984977908,0.378319557820842,0.11932914275321767,6.0
202,4,0.5,0.05,8.0,parity|or|copy|parity,0.11412990650968446,1.5084646278208191,16,0.027502823469701454,2.2004238498820303,0.509908969236787,0.061842981372424645,8.0
203,4,0.5,0.05,6.0,and|majority|parity|parity,0.0,0.0,16,0.6084656145451648,0.6592948999291635,0.44959715567114555,0.20686566833033967,6.0
204,4,0.5,0.05,9.0,or|or|majority|parity,0.019850867270883466,0.3176138763341323,16,0.0016782932418184515,0.6904732586943021,0.378319557820842,0.044672874213219686,9.0
205,4,0.5,0.05,10.0,copy|copy|copy|parity,0.0,0.0,16,0.5470574518127167,2.8544121715361745,0.47701161638280076,0.22715232160962862,10.0
206,4,0.5,0.05,7.0,and|majority|and|majority,0.0,0.0,16,0.018290397990605722,0.2618248503891669,0.3454222049668557,0.06913543207898278,7.0
207,4,0.5,0.05,8.0,majority|copy|parity|or,0.0,0.0,16,0.24461762794957798,2.3289199643567864,0.47701161638280076,0.1400075866505918,8.0
208,4,0.5,0.05,11.0,copy|parity|and|and,2.5854628191367347e-16,2.7801310488823063e-15,16,0.06012418730391422,0.8156528652842319,0.43863137138648345,0.052551796399213174,11.0
209,4,0.5,0.05,7.0,parity|parity|or|majority,1.5084646278208194,1.5084646278208194,16,0.0,2.8544121715361754,0.509908969236787,0.057825627556104625,7.0
210,4,0.5,0.2,13.0,or|and|majority|parity,0.02441372506299447,0.09721086964529836,16,0.04916704523084903,0.868427927744011,0.8991943113422911,0.1649001979394034,13.0
211,4,0.5,0.2,8.0,and|or|copy|or,0.0,0.0,16,0.013336481703589698,0.5017338786609695,0.89371141919996,0.046613089731256246,8.0
212,4,0.5,0.2,8.0,parity|and|or|majority,0.0,0.0,16,0.06356648296690226,1.0122703719092248,0.9595061249079325,0.08510467131990009,8.0
213,4,0.5,0.2,8.0,majority|parity|and|copy,0.0,0.0,16,0.0016411482459828264,0.8616379218742911,0.9266087720539463,0.042320381751707326,8.0
214,4,0.5,0.2,7.0,majority|copy|or|majority,0.0,0.0,16,0.09621102113248536,0.766843064378016,0.8662969584883048,0.1773381569056249,7.0
215,4,0.5,0.2,8.0,majority|or|or|majority,0.0,0.0,16,0.14108637904877241,0.4078533288859143,0.8662969584883048,0.20012241090819838,8.0
216,4,0.5,0.2,7.0,majority|copy|copy|copy,0.0,0.0,16,0.15436201363081103,1.1025388289489557,0.9046772034846221,0.13460914024307422,7.0
217,4,0.5,0.2,10.0,parity|or|and|and,0.0,0.0,16,0.032390736228793404,0.6150711680097101,0.9156429877692842,0.07805542071231003,10.0
218,4,0.5,0.2,8.0,and|majority|parity|and,0.07797853188420875,0.4004381437835453,16,0.03911867756995946,0.8618788946417553,0.9156429877692842,0.08363046871880057,8.0
219,4,0.5,0.2,7.0,or|parity|or|majority,0.0,0.0,16,0.10516752116043726,0.8955271205243642,0.9430574484809394,0.12457869572006142,7.0
220,4,0.5,0.2,5.0,or|parity|majority|and,0.056080209070905204,0.555476504668273,16,0.027691230507692843,0.9613556588653211,0.9046772034846221,0.0659139140705449,5.0
221,4,0.5,0.2,6.0,parity|or|or|parity,0.0,0.0,16,0.019879991361523963,0.2703465065599051,0.8662969584883048,0.03618507022173668,6.0
222,4,0.5,0.2,6.0,copy|and|majority|copy,0.0,0.0,16,0.019850720929686982,0.6539536544475526,0.9101600956269531,0.05458078158616526,6.0
223,4,0.5,0.2,7.0,or|majority|parity|or,0.0,0.0,16,0.01961135097338884,0.7477574666420286,0.89371141919996,0.0828230442170015,7.0
224,4,0.5,0.2,8.0,copy|majority|or|or,0.0,0.0,16,0.04641352829975842,0.5285687253236135,0.8279167134919875,0.1129637202142496,8.0
225,4,0.8,0.0,15.0,and|or|and|parity,0.0,0.0,5,0.13101569007573732,0.543564443158291,0.027414460711655216,0.0,15.0
226,4,0.8,0.0,11.0,or|copy|or|and,0.0,0.0,7,1.1667240695419787,1.8112781243765226,0.021931568569324173,0.0,11.0
227,4,0.8,0.0,15.0,and|or|or|and,0.0,0.0,4,0.6805958232684591,0.0,0.03289735285398626,0.9999999999999999,15.0
228,4,0.8,0.0,14.0,parity|and|or|majority,0.0,0.0,6,0.25764047929295897,0.9885175931326797,0.027414460711655216,0.0,14.0
229,4,0.8,0.0,14.0,or|copy|majority|or,0.0,0.0,6,1.2994189530162066,0.0,0.027414460711655216,0.40213263400990523,14.0
230,4,0.8,0.0,14.0,parity|parity|parity|or,0.569172916546474,3.0,6,1.111687536964713,2.9362781243352165,0.03289735285398626,0.3330828949248938,14.0
231,4,0.8,0.0,13.0,majority|and|or|or,0.0,0.0,6,0.7715666372007082,0.0,0.027414460711655216,0.16666666666666666,13.0
232,4,0.8,0.0,14.0,majority|majority|and|or,0.0,0.0,4,1.209468633664825,2.5849394142282115e-26,0.027414460711655216,0.0,14.0
233,4,0.8,0.0,13.0,and|and|and|or,0.10375937481971094,0.41503749927884376,4,1.0118701998510415,0.0,0.027414460711655216,0.11773298367161933,13.0
234,4,0.8,0.0,12.0,parity|or|majority|majority,0.0,0.0,7,1.1947582004719903,0.45120505927878574,0.03289735285398626,0.007461024683930753,12.0
235,4,0.8,0.0,12.0,and|or|and|majority,0.0,0.0,6,0.7817052717566702,2.5849394142282115e-26,0.010965784284662087,0.0,12.0
236,4,0.8,0.0,12.0,parity|copy|or|parity,0.2155870467654375,1.0,10,0.8945864862827562,3.455628961139066,0.043863137138648346,0.4388321936425754,12.0
237,4,0.8,0.0,13.0,parity|or|and|and,0.0,0.0,6,0.46993054590997274,0.5419396538997635,0.027414460711655216,0.007461024683930753,13.0
238,4,0.8,0.0,11.0,parity|parity|and|majority,0.1111111111111111,1.0,9,0.20098947490551122,2.965734594512552,0.010965784284662087,0.0,11.0
239,4,0.8,0.0,13.0,copy|or|copy|or,0.0,0.0,6,1.2994189530162066,0.0,0.021931568569324173,0.16666666666666666,13.0
240,4,0.8,0.05,10.0,and|majority|copy|or,0.018436339149628063,0.294981426394049,16,0.3620487898799425,1.2911418298285828,0.40025112639016613,0.30344948652310666,10.0
241,4,0.8,0.05,12.0,or|and|parity|and,2.9444734097872904e-16,3.4233657319656957e-15,16,0.004147860528828762,0.3185116083061341,0.40025112639016613,0.0314947980095753,12.0
242,4,0.8,0.05,16.0,and|and|parity|majority,0.01851355632018292,0.29621690112292665,16,0.0001760409106033034,0.3961169389641026,0.3892853421055041,0.03338495216208521,16.0
243,4,0.8,0.05,13.0,or|copy|copy|copy,3.000806102456455e-17,4.801289763930328e-16,16,0.31995361277151346,0.6357156379190576,0.32897352853986256,0.3557056221103649,13.0
244,4,0.8,0.05,11.0,copy|majority|parity|parity,1.6431619937700486e-16,1.1047834939914438e-15,16,0.587213649916202,1.4668806282927118,0.45508004781347655,0.12468441097927842,11.0
245,4,0.8,0.05,12.0,and|parity|parity|majority,0.11412990650968446,1.5084646278208191,16,0.032362060396912806,1.5066365236366983,0.41121691067482824,0.07976222547417844,12.0
246,4,0.8,0.05,11.0,and|copy|copy|parity,9.253833553599441e-18,7.403066842879553e-17,16,0.2503523479116012,0.824995222883548,0.41121691067482824,0.2184696150225022,11.0
247,4,0.8,0.05,11.0,majority|or|copy|and,0.0,0.0,16,0.0886311924733083,0.5884008275474766,0.42218269495949035,0.11530126495477803,11.0
248,4,0.8,0.05,15.0,copy|parity|majority|and,1.865009822572416e-16,2.9840157161158657e-15,16,0.11957960973933313,0.8411563782540179,0.4166998028171593,0.17357076795332652,15.0
249,4,0.8,0.05,13.0,copy|parity|copy|majority,2.2494022741173043e-16,1.1590125513245734e-15,16,1.030702021156066,1.0158789262188794,0.45508004781347655,0.37208481142806643,13.0
250,4,0.8,0.05,13.0,or|parity|and|majority,2.7424449596990106e-16,2.4959071249147854e-15,16,0.08230001263828335,1.5478000114986556,0.46604583209813866,0.13822607591084302,13.0
251,4,0.8,0.05,11.0,and|and|majority|and,0.01985086727088327,0.3176138763341323,16,0.0012720794760161525,0.1871981286652833,0.3618708813938488,0.04012426256408448,11.0
252,4,0.8,0.05,13.0,or|or|and|majority,1.3461028450169292e-16,1.2074167878068048e-15,16,0.10615606982052528,0.2654294528012313,0.4057340185324972,0.0965905539313477,13.0
253,4,0.8,0.05,13.0,or|copy|or|majority,0.0198508672708834,0.3176138763341323,16,0.00244595792690383,0.1951917996014103,0.3070419599705384,0.07538819518984616,13.0
254,4,0.8,0.05,14.0,parity|majority|majority|majority,0.0,0.0,16,0.8891711590281917,1.1274176642474774,0.3947682342478351,0.4079301310427492,14.0
255,4,0.8,0.2,11.0,or|and|or|copy,0.003635686524734154,0.058170984395746465,16,0.03156643619407351,0.7094527292733135,0.9649890170502636,0.05124590780387125,11.0
256,4,0.8,0.2,14.0,or|parity|parity|and,2.831855898417115e-17,1.1765813270826666e-16,16,0.09775543194471581,0.6875798679362828,0.9156429877692842,0.09613199632402865,14.0
257,4,0.8,0.2,15.0,copy|and|and|or,6.415556517358246e-17,2.0656856044751101e-16,16,0.007262171816275309,0.11730217975598789,0.8443653899189807,0.06473543358696882,15.0
258,4,0.8,0.2,13.0,majority|copy|and|or,0.0,0.0,16,0.0600167507450271,0.39877526091443194,0.9211258799116152,0.09693131197682982,13.0
259,4,0.8,0.2,14.0,majority|parity|parity|parity,0.20561471983183402,0.8332147570024097,16,0.032299148108330566,1.020311357498774,0.9375745563386084,0.08607254189960589,14.0
260,4,0.8,0.2,13.0,parity|majority|and|or,0.003635686524734154,0.058170984395746465,16,0.010936786909265361,0.6671192921969205,0.89371141919996,0.04222357211316868,13.0
261,4,0.8,0.2,11.0,or|copy|and|parity,0.005253882261176591,0.042031058089412265,16,0.03398611986766076,0.7889986190289298,0.9156429877692842,0.07094910508561954,11.0
262,4,0.8,0.2,14.0,and|and|parity|or,5.9049336475851016e-18,9.447893836136163e-17,16,0.006633016031409422,0.4772655189765267,0.9266087720539463,0.05596203515224215,14.0
263,4,0.8,0.2,11.0,majority|majority|copy|parity,0.021943941217959374,0.22840316803794117,16,0.057821093726000417,0.9330900993066953,0.9101600956269531,0.0992994683718484,11.0
264,4,0.8,0.2,15.0,and|or|parity|and,2.164477367442512e-18,3.463163787908019e-17,16,0.007262171816275753,0.3614521824638506,0.8991943113422911,0.04175748100106768,15.0
265,4,0.8,0.2,12.0,copy|copy|and|copy,1.751837555570527e-17,9.071650276290031e-17,16,0.25115297095718114,0.5603133018268669,0.8662969584883048,0.25848568438265435,12.0
266,4,0.8,0.2,14.0,and|majority|majority|majority,5.726066944114459e-18,3.5905305822093645e-17,16,0.052802127682351596,0.3093858027380625,0.7895364684956702,0.1195548049059938,14.0
267,4,0.8,0.2,14.0,parity|copy|copy|copy,0.10210965159343251,0.20421930318686501,16,0.09561854227550715,1.1122876204505503,0.9156429877692842,0.07536604792237522,14.0
268,4,0.8,0.2,14.0,parity|copy|and|majority,0.002731134709085157,0.04369815534536251,16,0.0345540060727032,0.7787223051663448,0.9211258799116152,0.09727995983938115,14.0
269,4,0.8,0.2,14.0,or|majority|copy|copy,0.007559880930193268,0.12095809488309228,16,0.10362718961246076,0.6921800836459688,0.8827456349152979,0.1685419738027287,14.0
