idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
1299,4,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1300,2,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
1301,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1302,3,2,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1303,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1304,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1305,3,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
1306,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1307,6,4,1,1.0,0.0,1.0,1,4,0,1,0,0.000000
1308,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1309,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
1310,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1311,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1312,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1313,6,4,1,1.0,0.0,1.0,1,4,0,1,0,0.000000
1314,3,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1315,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1316,4,2,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1317,4,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
1318,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0.000000
1319,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1320,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1321,4,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
1322,3,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1323,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1324,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1325,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
1326,5,3,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1327,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1328,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1329,2,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
1330,3,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
1331,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1332,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1333,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
1334,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1335,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1336,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1337,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1338,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1339,5,3,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1340,3,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
1341,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1342,5,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1343,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1344,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1345,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1346,4,2,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1347,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1348,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
1349,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1350,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1351,2,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
1352,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1353,4,2,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1354,6,4,1,0.5,0.0,0.5,2,4,0,2,0,0.000000
1355,3,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
1356,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1357,3,2,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1358,3,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1359,3,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1360,3,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
1361,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1362,5,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1363,4,2,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1364,4,2,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1365,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
