form,n,p,phi_mip,phi_hat,drop_fraction
conjunctive,4,0.01,2.70983189,0.903277297,0.096722703
conjunctive,4,0.02,2.456435557,0.818811852,0.181188148
conjunctive,4,0.03,2.233687881,0.744562627,0.255437373
conjunctive,4,0.04,2.036722212,0.678907404,0.321092596
conjunctive,4,0.05,1.861625697,0.620541899,0.379458101
conjunctive,4,0.06,1.705219448,0.568406483,0.431593517
conjunctive,4,0.07,1.56489639,0.52163213,0.47836787
conjunctive,4,0.08,1.438499935,0.479499978,0.520500022
conjunctive,4,0.09,1.324232059,0.441410686,0.558589314
conjunctive,4,0.1,1.220582813,0.406860938,0.593139062
conjunctive,4,0.11,1.126275699,0.375425233,0.624574767
conjunctive,4,0.12,1.040224907,0.346741636,0.653258364
conjunctive,4,0.13,0.961501549,0.320500516,0.679499484
conjunctive,4,0.14,0.889306743,0.296435581,0.703564419
conjunctive,4,0.15,0.822950015,0.274316672,0.725683328
conjunctive,4,0.16,0.761831819,0.25394394,0.74605606
conjunctive,4,0.17,0.705429306,0.235143102,0.764856898
conjunctive,4,0.18,0.653284651,0.21776155,0.78223845
conjunctive,4,0.19,0.604995441,0.201665147,0.798334853
conjunctive,4,0.2,0.560206684,0.186735561,0.813264439
conjunctive,4,0.21,0.518604164,0.172868055,0.827131945
conjunctive,4,0.22,0.47990886,0.15996962,0.84003038
conjunctive,4,0.23,0.443872252,0.147957417,0.852042583
conjunctive,4,0.24,0.41027235,0.13675745,0.86324255
conjunctive,4,0.25,0.378910322,0.126303441,0.873696559
conjunctive,4,0.26,0.349607614,0.116535871,0.883464129
conjunctive,4,0.27,0.322203487,0.107401162,0.892598838
conjunctive,4,0.28,0.296552904,0.098850968,0.901149032
conjunctive,4,0.29,0.272524699,0.090841566,0.909158434
conjunctive,4,0.3,0.25,0.083333333,0.916666667
conjunctive,4,0.31,0.228870858,0.076290286,0.923709714
conjunctive,4,0.32,0.209039052,0.069679684,0.930320316
conjunctive,4,0.33,0.19041505,0.063471683,0.936528317
conjunctive,4,0.34,0.172917092,0.057639031,0.942360969
conjunctive,4,0.35,0.156470392,0.052156797,0.947843203
conjunctive,4,0.36,0.141006431,0.047002144,0.952997856
conjunctive,4,0.37,0.126462335,0.042154112,0.957845888
conjunctive,4,0.38,0.112780326,0.037593442,0.962406558
conjunctive,4,0.39,0.099907233,0.033302411,0.966697589
conjunctive,4,0.4,0.087794058,0.029264686,0.970735314
conjunctive,4,0.41,0.076395591,0.025465197,0.974534803
conjunctive,4,0.42,0.065670068,0.021890023,0.978109977
conjunctive,4,0.43,0.055578859,0.018526286,0.981473714
conjunctive,4,0.44,0.046086197,0.015362066,0.984637934
conjunctive,4,0.45,0.03715893,0.01238631,0.98761369
conjunctive,4,0.46,0.028766296,0.009588765,0.990411235
conjunctive,4,0.47,0.020879728,0.006959909,0.993040091
conjunctive,4,0.48,0.013472674,0.004490891,0.995509109
conjunctive,4,0.49,0.006520431,0.002173477,0.997826523
conjunctive,4,0.5,0.0,0.0,1.0
