form,n,p,phi,chi,abs_chi
conjunctive,3,0.13,1.012005799955132,-5.497993850773637,5.497993850773637
conjunctive,3,0.14,0.9582716320654721,-5.255303280723513,5.255303280723513
conjunctive,3,0.15,0.9068997343406617,-5.025112858082023,5.025112858082023
conjunctive,3,0.16,0.8577693749038316,-4.806602390988458,4.806602390988458
conjunctive,3,0.17,0.8107676865208925,-4.59901602601693,4.59901602601693
conjunctive,3,0.18,0.7657890543834931,-4.40165634248559,4.40165634248559
conjunctive,3,0.19,0.7227345596711807,-4.21387906367763,4.21387906367763
conjunctive,3,0.2,0.6815114731099404,-4.0350883127417045,4.0350883127417045
conjunctive,3,0.21,0.6420327934163467,-3.864732350373747,3.864732350373747
conjunctive,3,0.22,0.6042168261024655,-3.7022997393974433,3.7022997393974433
conjunctive,3,0.23,0.5679867986283977,-3.5473158882610174,3.5473158882610174
conjunctive,3,0.24,0.5332705083372452,-3.3993399314198887,3.3993399314198887
conjunctive,3,0.25,0.5,-3.257961909718521,3.257961909718521
conjunctive,3,0.26,0.46811127014287474,-3.1228002183397776,3.1228002183397776
conjunctive,3,0.27,0.4375439956332044,-2.9934992937576457,2.9934992937576457
conjunctive,3,0.28,0.40824128426772177,-2.8697275144899392,2.8697275144899392
conjunctive,3,0.29,0.3801494453434057,-2.751175293376004,2.751175293376004
conjunctive,3,0.3,0.3532177784002018,-2.637553341659613,2.637553341659613
conjunctive,3,0.31,0.3273983785102134,-2.528591087390162,2.528591087390162
conjunctive,3,0.32,0.3026459566523985,-2.424035232611036,2.424035232611036
conjunctive,3,0.33,0.27891767385799265,-2.323648435518808,2.323648435518808
conjunctive,3,0.34,0.2561729879420223,-2.2272081052823025,2.2272081052823025
conjunctive,3,0.35,0.2343735117523467,-2.1345052985355006,2.1345052985355006
conjunctive,3,0.36,0.21348288197131238,-2.045343707725139,2.045343707725139
conjunctive,3,0.37,0.19346663759784388,-1.9595387325219173,1.9595387325219173
conjunctive,3,0.38,0.174292107320874,-1.8769166264130301,1.8769166264130301
conjunctive,3,0.39,0.15592830506958325,-1.7973137113963031,1.7973137113963031
conjunctive,3,0.4,0.1383458330929479,-1.7205756544062045,1.7205756544062045
conjunctive,3,0.41,0.12151679198145922,-1.6465567997309696,1.6465567997309696
conjunctive,3,0.42,0.10541469709832857,-1.5751195522362642,1.5751195522362642
conjunctive,3,0.43,0.09001440093673391,-1.5061338067041525,1.5061338067041525
conjunctive,3,0.44,0.07529202096424549,-1.4394764190329747,1.4394764190329747
conjunctive,3,0.45,0.06122487255607439,-1.375030715429751,1.375030715429751
conjunctive,3,0.46,0.047791406655650445,-1.3126860360687225,1.3126860360687225
conjunctive,3,0.47,0.03497115183469999,-1.2523373099901853,1.2523373099901853
conjunctive,3,0.48,0.022744660455846787,-1.1938846582788918,1.1938846582788918
conjunctive,3,0.49,0.011093458669122133,-1.1372330227923384,1.1372330227923384
conjunctive,3,0.5,0.0,-1.1093458669122123,1.1093458669122123
conjunctive,4,0.0,3.0,-29.016810956486204,29.016810956486204
conjunctive,4,0.01,2.709831890435138,-27.178222159979846,27.178222159979846
conjunctive,4,0.02,2.456435556800403,-23.80720049461587,23.80720049461587
conjunctive,4,0.03,2.2336878805428206,-20.985667246435092,20.985667246435092
conjunctive,4,0.04,2.036722211871701,-18.603109198780707,18.603109198780707
conjunctive,4,0.05,1.8616256965672064,-16.575138174406415,16.575138174406415
conjunctive,4,0.06,1.705219448383573,-14.836465349799951,14.836465349799951
conjunctive,4,0.07,1.5648963895712074,-13.335975689657772,13.335975689657772
conjunctive,4,0.08,1.4384999345904175,-12.033216538675534,12.033216538675534
conjunctive,4,0.09,1.3242320587976968,-10.895856063955842,10.895856063955842
conjunctive,4,0.1,1.2205828133113006,-9.897818010326674,9.897818010326674
conjunctive,4,0.11,1.1262756985911633,-9.017895309083183,9.017895309083183
conjunctive,4,0.12,1.040224907129637,-8.238707501254021,8.238707501254021
conjunctive,4,0.13,0.9615015485660828,-7.545908214232576,7.545908214232576
conjunctive,4,0.14,0.8893067428449853,-6.927576674732009,6.927576674732009
conjunctive,4,0.15,0.8229500150714427,-6.373746170887449,6.373746170887449
conjunctive,4,0.16,0.7618318194272364,-5.876035473028624,5.876035473028624
conjunctive,4,0.17,0.7054293056108701,-5.427358401382662,5.427358401382662
conjunctive,4,0.18,0.6532846513995832,-5.021693239617861,5.021693239617861
conjunctive,4,0.19,0.604995440818513,-4.653898363384563,4.653898363384563
conjunctive,4,0.2,0.5602066841318919,-4.319563838449693,4.319563838449693
conjunctive,4,0.21,0.5186041640495191,-4.014891221399601,4.014891221399601
conjunctive,4,0.22,0.4799088597038999,-3.73659562709869,3.73659562709869
conjunctive,4,0.23,0.4438722515075453,-3.481825491970993,3.481825491970993
conjunctive,4,0.24,0.4102723498644801,-3.24809648787036,3.24809648787036
conjunctive,4,0.25,0.3789103217501381,-3.0332368181180875,3.0332368181180875
conjunctive,4,0.26,0.3496076135021183,-2.835341719948245,2.835341719948245
conjunctive,4,0.27,0.32220348735117316,-2.652735452925526,2.652735452925526
conjunctive,4,0.28,0.2965529044436077,-2.4839394050340267,2.4839394050340267
conjunctive,4,0.29,0.2725246992504927,-2.32764522218039,2.32764522218039
conjunctive,4,0.3,0.25,-2.1826920814084154,2.1826920814084154
conjunctive,4,0.31,0.22887085762232437,-2.048047397057893,2.048047397057893
conjunctive,4,0.32,0.2090390520588421,-1.9227903828434156,1.9227903828434156
conjunctive,4,0.33,0.19041504996545602,-1.8060979992609734,1.8060979992609734
conjunctive,4,0.34,0.1729170920736226,-1.6972329008495592,1.6972329008495592
conjunctive,4,0.35,0.1564703919484649,-1.5955330662340743,1.5955330662340743
conjunctive,4,0.36,0.14100643074894118,-1.5004028490887917,1.5004028490887917
conjunctive,4,0.37,0.12646233496668904,-1.411305232924945,1.411305232924945
conjunctive,4,0.38,0.11278032609044225,-1.3277551090501885,1.3277551090501885
conjunctive,4,0.39,0.09990723278568525,-1.2493134268384356,1.2493134268384356
conjunctive,4,0.4,0.08779405755367352,-1.1755820898938167,1.1755820898938167
conjunctive,4,0.41,0.07639559098780896,-1.1061994918262958,1.1061994918262958
conjunctive,4,0.42,0.06567006771714765,-1.0408366019983133,1.0408366019983133
conjunctive,4,0.43,0.055578858947842674,-0.9791935254042409,0.9791935254042409
conjunctive,4,0.44,0.04608619720906281,-0.9209964723300902,0.9209964723300902
conjunctive,4,0.45,0.037158929501240855,-0.8659950830282871,0.8659950830282871
conjunctive,4,0.46,0.028766295548497054,-0.8139600606700441,0.8139600606700441
conjunctive,4,0.47,0.020879728287840002,-0.7646810725787007,0.7646810725787007
conjunctive,4,0.48,0.013472674096923069,-0.7179648854235876,0.7179648854235876
conjunctive,4,0.49,0.006520430579368236,-0.6736337048461528,0.6736337048461528
conjunctive,4,0.5,0.0,-0.652043057936823,0.652043057936823
